Date,OpenAsianpaint,HighAsianpaint,LowAsianpaint,CloseAsianpaint,VolumeAsianpaint
13-03-2018 03:45,1129.65,1136.45,1128.6,1135.8,101161
13-03-2018 04:45,1136.35,1139,1135.75,1138,70396
13-03-2018 05:45,1138.05,1141.5,1138,1141.1,88987
13-03-2018 06:45,1141.05,1142,1138,1139.15,69680
13-03-2018 07:45,1139.3,1141.5,1138.45,1141,173103
13-03-2018 08:45,1141.15,1143,1134.75,1140.8,165769
13-03-2018 09:45,1140.95,1142,1139.1,1140.3,42400
14-03-2018 03:45,1138.05,1143.8,1137,1139.2,92253
14-03-2018 04:45,1139.35,1140,1133,1133.85,68349
14-03-2018 05:45,1133.75,1136.5,1131.2,1133.7,92128
14-03-2018 06:45,1133,1137.5,1132.75,1136.9,73925
14-03-2018 07:45,1137,1138.75,1136.15,1137.6,56168
14-03-2018 08:45,1137.4,1138.85,1136,1136.9,868881
14-03-2018 09:45,1136.9,1137.6,1136.6,1137,107562
15-03-2018 03:45,1134.3,1140.75,1133.75,1137.9,109075
15-03-2018 04:45,1137.55,1140.7,1136.95,1140,29910
15-03-2018 05:45,1140.05,1141.95,1138.3,1140.55,46616
15-03-2018 06:45,1140.55,1151.6,1140,1151.4,133079
15-03-2018 07:45,1151.05,1158.8,1151.05,1157.05,161678
15-03-2018 08:45,1157.05,1161.95,1154,1161,544784
15-03-2018 09:45,1161.5,1163.65,1159,1160.8,121209
16-03-2018 03:45,1155.1,1156.95,1142.75,1144.35,295816
16-03-2018 04:45,1144.75,1148,1143.25,1147,165356
16-03-2018 05:45,1147.05,1148,1145,1145,159713
16-03-2018 06:45,1145,1147.2,1145,1146,158987
16-03-2018 07:45,1146.05,1147.45,1143.5,1144,312904
16-03-2018 08:45,1144.6,1144.8,1119.65,1120.85,532034
16-03-2018 09:45,1120.85,1122.75,1118.4,1122.75,321320
19-03-2018 03:45,1122.75,1122.75,1100.1,1104,154442
19-03-2018 04:45,1104.1,1105.45,1100,1103.1,98061
19-03-2018 05:45,1103.1,1108,1103.1,1106.9,109861
19-03-2018 06:45,1106.2,1106.9,1104,1106,73060
19-03-2018 07:45,1106,1107.4,1104.85,1104.85,96281
19-03-2018 08:45,1104.9,1108,1100.15,1100.25,216059
19-03-2018 09:45,1101.05,1104.5,1100,1102.55,105567
20-03-2018 03:45,1101.1,1106.35,1096.65,1104.3,139612
20-03-2018 04:45,1104.25,1108.75,1104,1106,114492
20-03-2018 05:45,1106,1116.7,1106,1113.05,166710
20-03-2018 06:45,1113.05,1113.2,1108.5,1108.5,68066
20-03-2018 07:45,1108.3,1110.05,1103.3,1110.05,74417
20-03-2018 08:45,1110.45,1110.8,1103.3,1106.8,106252
20-03-2018 09:45,1106.25,1109.05,1105,1106.5,50205
21-03-2018 03:45,1106.5,1112.15,1105.05,1109.8,76892
21-03-2018 04:45,1109.65,1111.5,1108.9,1111,62866
21-03-2018 05:45,1111,1113.95,1109.7,1110.15,87968
21-03-2018 06:45,1110.1,1110.3,1102.95,1106.6,54868
21-03-2018 07:45,1106.45,1115.85,1103.7,1114.8,169085
21-03-2018 08:45,1115,1115.3,1103.6,1107.35,107597
21-03-2018 09:45,1106.85,1106.85,1100,1102.5,50502
22-03-2018 03:45,1100,1110,1100,1106.95,59177
22-03-2018 04:45,1106.9,1107.4,1103,1105.25,35163
22-03-2018 05:45,1105.5,1105.9,1100.25,1105.3,120252
22-03-2018 06:45,1105,1106.7,1104.3,1104.3,39899
22-03-2018 07:45,1104.25,1107.05,1104.15,1106.5,80134
22-03-2018 08:45,1106.75,1109.3,1106,1107.9,95334
22-03-2018 09:45,1108,1108.95,1104.15,1107.1,48296
23-03-2018 03:45,1094.55,1106,1094.55,1102.6,102314
23-03-2018 04:45,1103,1106,1098.6,1104,63470
23-03-2018 05:45,1104.4,1107.9,1103.75,1106.3,147738
23-03-2018 06:45,1106.3,1112.45,1106,1110.6,78016
23-03-2018 07:45,1113.35,1120,1110.8,1115,140274
23-03-2018 08:45,1114.05,1119.95,1110.2,1110.2,200173
23-03-2018 09:45,1111.7,1113.8,1106.5,1110.65,93887
26-03-2018 03:45,1108.95,1110.9,1104.05,1105.95,40539
26-03-2018 04:45,1105.3,1107.5,1101.1,1101.25,58128
26-03-2018 05:45,1102.05,1106,1101.05,1104.75,56412
26-03-2018 06:45,1105,1106.8,1102.1,1106.4,61906
26-03-2018 07:45,1106.75,1118,1103.95,1112.05,115153
26-03-2018 08:45,1113,1119,1112.05,1117.65,106982
26-03-2018 09:45,1116.95,1118.5,1116,1117.55,39341
27-03-2018 03:45,1119.85,1125,1118.75,1123.95,83213
27-03-2018 04:45,1123.3,1124,1116.5,1119.75,83389
27-03-2018 05:45,1121,1128.5,1120,1127.6,93737
27-03-2018 06:45,1128,1129.7,1125.5,1127,79083
27-03-2018 07:45,1127.55,1137.15,1127,1136,162607
27-03-2018 08:45,1136.8,1136.95,1128.25,1131.6,121821
27-03-2018 09:45,1131.05,1132.8,1130,1131.1,47983
28-03-2018 03:45,1128.85,1128.85,1121.3,1121.8,45765
28-03-2018 04:45,1122.1,1123.1,1115,1115.1,52529
28-03-2018 05:45,1115.9,1118.55,1115.55,1117.05,56417
28-03-2018 06:45,1118,1119.35,1117,1118.45,53757
28-03-2018 07:45,1118,1120.35,1118,1119.1,57176
28-03-2018 08:45,1119.35,1122.1,1117.55,1119.75,285825
28-03-2018 09:45,1119.85,1126.55,1117.8,1120.4,147899
02-04-2018 03:45,1120.7,1128.05,1112,1126.55,109435
02-04-2018 04:45,1126.2,1131.9,1126.2,1131.8,32259
02-04-2018 05:45,1131.7,1131.7,1127.25,1130.85,22327
02-04-2018 06:45,1131.3,1131.35,1126.25,1126.3,43570
02-04-2018 07:45,1126.3,1138.75,1126.3,1138.55,83672
02-04-2018 08:45,1138.25,1153.65,1137.55,1148.3,101881
02-04-2018 09:45,1148.5,1152.9,1148.1,1150.15,34898
03-04-2018 03:45,1145.05,1153.65,1139.35,1153.45,57214
03-04-2018 04:45,1153.4,1153.8,1150,1151.05,53839
03-04-2018 05:45,1150.85,1152.7,1144,1146.6,81067
03-04-2018 06:45,1147.15,1150,1145,1149.1,62798
03-04-2018 07:45,1150,1150.2,1147.4,1150,159242
03-04-2018 08:45,1149.6,1150.5,1149.5,1150,89253
03-04-2018 09:45,1150,1156.5,1149.95,1152.1,57441
04-04-2018 03:45,1157,1157.05,1145.8,1149.55,99165
04-04-2018 04:45,1149.55,1149.75,1144.5,1147.25,52872
04-04-2018 05:45,1147,1147.65,1140.85,1143.6,56458
04-04-2018 06:45,1143.9,1147.45,1138.1,1138.1,100841
04-04-2018 07:45,1137.55,1137.75,1126.5,1129.85,146504
04-04-2018 08:45,1129.65,1136.05,1127.05,1133.35,80364
04-04-2018 09:45,1133.6,1140.95,1132.25,1134.5,67298
05-04-2018 03:45,1151.8,1156.45,1145.05,1148.9,72569
05-04-2018 04:45,1151,1152,1142.45,1144.75,69188
05-04-2018 05:45,1144.8,1146.1,1143.15,1145,86086
05-04-2018 06:45,1144.95,1145.5,1144.15,1145,50311
05-04-2018 07:45,1145.8,1145.9,1142.95,1143,56721
05-04-2018 08:45,1143,1144.45,1137.95,1143.5,181976
05-04-2018 09:45,1143.75,1144.8,1141.75,1144.6,30577
06-04-2018 03:45,1143,1152.6,1142.6,1145.4,51649
06-04-2018 04:45,1145.45,1146.3,1138.25,1142.9,87354
06-04-2018 05:45,1143.65,1144.3,1140.55,1140.65,42217
06-04-2018 06:45,1140.8,1143.25,1135.05,1138.95,47889
06-04-2018 07:45,1138.75,1144.7,1136.65,1144.7,39898
06-04-2018 08:45,1145,1146.05,1141,1143.5,99598
06-04-2018 09:45,1144.9,1145.95,1143.5,1143.5,26807
09-04-2018 03:45,1144,1167.9,1140.25,1165.5,216743
09-04-2018 04:45,1165.15,1170.85,1158.05,1159,142673
09-04-2018 05:45,1158.55,1161.95,1158.4,1160.9,51847
09-04-2018 06:45,1160.65,1171.4,1160.5,1162.9,210574
09-04-2018 07:45,1163.4,1164.1,1158.6,1161.05,54785
09-04-2018 08:45,1161.5,1161.5,1154,1158.8,102511
09-04-2018 09:45,1159,1159,1153.3,1157.45,56771
10-04-2018 03:45,1159.2,1166.4,1153.45,1165.35,171277
10-04-2018 04:45,1164.85,1164.9,1155.55,1158.7,75640
10-04-2018 05:45,1158.85,1159,1155.35,1158.2,31547
10-04-2018 06:45,1157.45,1165.05,1156.3,1164.9,47949
10-04-2018 07:45,1165.3,1167.7,1159.05,1160.25,67943
10-04-2018 08:45,1160.1,1162.05,1154.65,1155.85,94806
10-04-2018 09:45,1155.65,1159.5,1154.2,1156,53139
11-04-2018 03:45,1155.2,1158.45,1141.5,1142.7,92883
11-04-2018 04:45,1144.2,1151,1141.5,1148.7,71563
11-04-2018 05:45,1148.75,1152.8,1147.05,1152,48964
11-04-2018 06:45,1151.95,1152.45,1149.05,1151.6,32735
11-04-2018 07:45,1151.9,1158.1,1151,1158,69201
11-04-2018 08:45,1157,1157.95,1152.4,1155.45,51025
11-04-2018 09:45,1155.45,1157,1152.5,1155.85,51690
12-04-2018 03:45,1150,1158.9,1145.7,1158.2,38072
12-04-2018 04:45,1158.1,1160,1154.5,1159.75,36924
12-04-2018 05:45,1159.5,1159.5,1153,1154.5,18236
12-04-2018 06:45,1154.65,1156.25,1153,1155.05,22647
12-04-2018 07:45,1155.95,1162.55,1155,1160,44168
12-04-2018 08:45,1160.15,1167.2,1157.45,1167.2,139133
12-04-2018 09:45,1168,1168.65,1164.9,1165.2,60973
13-04-2018 03:45,1170,1176.6,1162.2,1169.35,161719
13-04-2018 04:45,1168.6,1170.35,1165.85,1168.95,101548
13-04-2018 05:45,1168,1169.5,1164.6,1169.2,50624
13-04-2018 06:45,1169.2,1170.1,1163.55,1165.1,71683
13-04-2018 07:45,1167.35,1167.35,1163,1164.85,62276
13-04-2018 08:45,1165,1165.75,1160.55,1163.1,139770
13-04-2018 09:45,1162.55,1163,1160.2,1161.1,48273
