Date,OpenAstral,HighAstral,LowAstral,CloseAstral,VolumeAstral
13-03-2018 03:45,696.8,698.8032,694.4384,694.56,1595
13-03-2018 04:45,694.5984,696.8,694.5984,696.8,2094
13-03-2018 05:45,697.6,706.4,697.6,700,3665
13-03-2018 06:45,700,705.4784,700,701.6,2452
13-03-2018 07:45,701.6,702.4,698.08,698.2784,1291
13-03-2018 08:45,697.5616,700.6784,695.2384,698.2016,11651
13-03-2018 09:45,697.8816,698.4384,696,697.4016,3285
14-03-2018 03:45,700.8768,706.4,697.9584,705.8816,3332
14-03-2018 04:45,705.8432,705.8816,704.1216,704.16,425
14-03-2018 05:45,704.2816,705.6,701.6,703.2,610
14-03-2018 06:45,703.9616,704.8,700.8384,701.6,2253
14-03-2018 07:45,697.8816,711.1616,697.8816,711.1616,16216
14-03-2018 08:45,709.3184,709.3184,696.8832,696.8832,13261
14-03-2018 09:45,696.16,699.2384,691.6416,699.2384,5298
15-03-2018 03:45,696.8,696.8,689.6,692.8,1770
15-03-2018 04:45,692.0384,695.0016,690.8416,692.7616,1613
15-03-2018 05:45,692.7232,693.6,692.0384,692.0384,283
15-03-2018 06:45,693.7216,693.7216,691.5968,692.0384,1264
15-03-2018 07:45,692.8,701.4784,692.8,696,3794
15-03-2018 08:45,696,699.9616,696,696.0768,811
15-03-2018 09:45,699.1232,699.1232,692.2368,695.2,5736
16-03-2018 03:45,699.4816,710.4,691.2768,707.36,8946
16-03-2018 04:45,702.7968,705.76,700.2816,702.4,3767
16-03-2018 05:45,700.96,706.3168,700.96,704.8832,7660
16-03-2018 06:45,704.3968,708,704,704.4416,6706
16-03-2018 07:45,704.3968,705.28,687.2,690.4832,8924
16-03-2018 08:45,691.1616,691.1616,683.84,683.84,5395
16-03-2018 09:45,685.1968,685.1968,681.76,683.68,4847
19-03-2018 03:45,687.9616,687.9616,670.56,678.0032,7458
19-03-2018 04:45,678.0032,682.8032,676.0384,682.8032,1373
19-03-2018 05:45,682.8032,682.8032,679.2832,681.4784,510
19-03-2018 06:45,681.9968,686.9184,680,682.2784,4445
19-03-2018 07:45,680,681.6,673.6,674.9184,1833
19-03-2018 08:45,673.6,682.2016,672.8832,675.9616,15467
19-03-2018 09:45,675.9616,675.9616,668,674.7584,4736
20-03-2018 03:45,674.5984,676,671.36,674.4,1529
20-03-2018 04:45,674.8032,676.3584,672,675.1616,462
20-03-2018 05:45,674.2784,682.24,674.2016,682.24,1015
20-03-2018 06:45,683.1232,700.8,680,688.48,20503
20-03-2018 07:45,688.48,688.8,682.2784,687.7568,1346
20-03-2018 08:45,687.7568,687.7568,672,673.6384,8627
20-03-2018 09:45,671.9616,673.3568,666.8032,671.84,9383
21-03-2018 03:45,672.0768,679.6416,672.0768,679.04,3886
21-03-2018 04:45,678.72,686.3232,675.2,678.4,11759
21-03-2018 05:45,678.4,678.4,675.2768,676.8,1146
21-03-2018 06:45,676.8,679.0016,666.5984,675.52,3739
21-03-2018 07:45,675.1616,683.2,671.4368,671.4368,8054
21-03-2018 08:45,672.48,675.9616,668.1216,668.16,4305
21-03-2018 09:45,668,668.1216,664,664,8723
22-03-2018 03:45,660.4032,675.8784,660.4032,672.0384,1315
22-03-2018 04:45,672.8,679.6032,670.0416,671.8784,3191
22-03-2018 05:45,671.8784,672.7616,670.1184,671.2,452
22-03-2018 06:45,670.1184,670.1184,663.6032,663.6032,837
22-03-2018 07:45,662.4768,672.8384,662.4384,671.3984,1104
22-03-2018 08:45,671.1616,683.9616,664.0384,680,18725
22-03-2018 09:45,680,680.64,668.1216,673.8432,6603
23-03-2018 03:45,671.9616,679.9232,664,678.24,1550
23-03-2018 04:45,675.2768,676,673.3184,673.3184,605
23-03-2018 05:45,673.3184,674.2784,664.4416,664.8,2418
23-03-2018 06:45,664.8,666.8032,664.1216,664.1216,4618
23-03-2018 07:45,664.1216,667.2,662.4384,664,3637
23-03-2018 08:45,663.8016,697.3568,663.8016,695.2,34567
23-03-2018 09:45,694.4,695.9616,684.1216,684.1216,1352
26-03-2018 03:45,688,700.1984,688,694.4,8255
26-03-2018 04:45,694.4,699.5968,694.08,695.8016,4618
26-03-2018 05:45,695.8016,697.6,691.2,692.8,3961
26-03-2018 06:45,692.4416,701.6,692.4416,700.8,6583
26-03-2018 07:45,700.7616,700.8,693.7984,696,2196
26-03-2018 08:45,698.8416,704.7168,693.1584,697.4784,19938
26-03-2018 09:45,697.12,697.12,688,693.7984,1726
27-03-2018 03:45,696.0384,713.5616,696.0384,705.5616,6325
27-03-2018 04:45,705.3568,706.3168,701.2416,701.2416,3009
27-03-2018 05:45,700.8,700.8,696.8,699.2,1658
27-03-2018 06:45,697.6768,702.4,697.5616,700,6242
27-03-2018 07:45,700,700.4032,691.2,694.08,4193
27-03-2018 08:45,694.2784,698.8416,686.88,697.44,15458
27-03-2018 09:45,692.8,716.6016,692.8,703.0016,16170
