Date,OpenBajajFinance,HighBajajFinance,LowBajajFinance,CloseBajajFinance,VolumeBajajFinance
13-03-2018 03:45,1665.05,1689.9,1664,1687.35,143401
13-03-2018 04:45,1687.15,1696.45,1686.05,1691.15,156063
13-03-2018 05:45,1690.1,1691.55,1680.65,1684,116439
13-03-2018 06:45,1683.7,1691,1682.7,1688.25,58519
13-03-2018 07:45,1689.85,1698.75,1670.9,1679.35,171265
13-03-2018 08:45,1677.6,1688.65,1671,1677,137098
13-03-2018 09:45,1677.85,1682,1676.05,1680.7,37655
14-03-2018 03:45,1672,1679.9,1668.7,1678.35,101251
14-03-2018 04:45,1676.7,1677.6,1671.45,1675.4,49765
14-03-2018 05:45,1675.05,1676.6,1671.5,1674.3,60441
14-03-2018 06:45,1674.9,1683.6,1670.05,1683.05,227117
14-03-2018 07:45,1682.95,1695,1682.2,1687.2,99923
14-03-2018 08:45,1686.5,1706,1685.5,1705.4,174399
14-03-2018 09:45,1705.35,1720.25,1704.6,1718,135123
15-03-2018 03:45,1715,1734,1715,1729.5,244032
15-03-2018 04:45,1729.45,1730.7,1719,1724.35,70316
15-03-2018 05:45,1722.4,1731,1722.4,1731,52856
15-03-2018 06:45,1730.15,1735,1728.3,1732.5,76532
15-03-2018 07:45,1733.75,1739.9,1728.2,1731.75,119088
15-03-2018 08:45,1731.35,1736.7,1725.55,1729,112317
15-03-2018 09:45,1729.15,1729.65,1720.55,1726.25,62799
16-03-2018 03:45,1719.7,1722.95,1710.85,1714.75,123744
16-03-2018 04:45,1714,1714.15,1706.6,1708,101776
16-03-2018 05:45,1708.9,1710.45,1704.5,1707.8,46800
16-03-2018 06:45,1707.05,1707.4,1701.1,1703.8,64991
16-03-2018 07:45,1704,1710.05,1701.45,1702.85,80187
16-03-2018 08:45,1703.6,1706.2,1681.25,1690,336179
16-03-2018 09:45,1690.8,1693.4,1683.45,1687.9,245949
19-03-2018 03:45,1696.5,1696.5,1666,1672.45,113528
19-03-2018 04:45,1671.9,1674.55,1663.35,1667.5,39757
19-03-2018 05:45,1665.4,1669.45,1655,1660.35,113130
19-03-2018 06:45,1661,1661,1647,1649.95,75086
19-03-2018 07:45,1649.1,1650,1638.45,1640.9,159250
19-03-2018 08:45,1640.35,1642.1,1630,1634.65,221995
19-03-2018 09:45,1631.85,1635.2,1628,1628,122766
20-03-2018 03:45,1625.35,1635,1616.6,1629.05,358041
20-03-2018 04:45,1629.25,1645.4,1627.5,1644.5,233549
20-03-2018 05:45,1643.4,1657.8,1643.4,1651,218413
20-03-2018 06:45,1651,1652,1646,1649.5,94926
20-03-2018 07:45,1648.95,1655.05,1640,1655.05,154689
20-03-2018 08:45,1655.35,1660,1646.5,1657,183601
20-03-2018 09:45,1655.55,1663,1655.55,1657.3,75345
21-03-2018 03:45,1668.8,1686,1666,1682.8,166526
21-03-2018 04:45,1683,1693,1679.4,1693,75840
21-03-2018 05:45,1693,1694,1675.5,1680,105277
21-03-2018 06:45,1680.25,1691.6,1676.5,1687.3,139547
21-03-2018 07:45,1687.65,1702,1685.55,1690.4,252757
21-03-2018 08:45,1692.15,1711,1690.65,1709.9,328010
21-03-2018 09:45,1710,1711.5,1700.1,1700.1,61584
22-03-2018 03:45,1706.1,1712.45,1691.05,1703.9,202562
22-03-2018 04:45,1703.5,1718.85,1700.2,1718.5,155813
22-03-2018 05:45,1718.9,1720,1707,1709.65,158853
22-03-2018 06:45,1710.45,1719.25,1709,1710,126134
22-03-2018 07:45,1710,1715.95,1703.6,1708,176126
22-03-2018 08:45,1708.85,1713,1693.75,1695,255618
22-03-2018 09:45,1695.85,1698.1,1693,1695.6,77876
23-03-2018 03:45,1660,1694.8,1660,1680,291499
23-03-2018 04:45,1680.65,1684.25,1673.7,1679.3,86265
23-03-2018 05:45,1679.2,1680.95,1672.5,1677,80763
23-03-2018 06:45,1677,1692.25,1675,1691.45,123389
23-03-2018 07:45,1692.25,1694.75,1682.55,1684.2,125278
23-03-2018 08:45,1684.8,1688.55,1675.1,1686.4,261560
23-03-2018 09:45,1686.25,1688.65,1678.55,1685.3,118105
26-03-2018 03:45,1695.65,1721.95,1688.8,1711.65,299776
26-03-2018 04:45,1711.5,1715,1699.35,1703,111918
26-03-2018 05:45,1703.1,1712.45,1701.25,1710.3,73967
26-03-2018 06:45,1710.05,1718.95,1710,1717.1,82301
26-03-2018 07:45,1718,1731.65,1715,1725.5,277402
26-03-2018 08:45,1725.5,1745,1722.1,1743.5,314856
26-03-2018 09:45,1744.85,1746.95,1738,1741.6,127717
27-03-2018 03:45,1752.1,1781.2,1752.1,1777,362074
27-03-2018 04:45,1776.9,1792,1776.75,1785.65,299403
27-03-2018 05:45,1785.7,1794.85,1783.1,1793.7,188336
27-03-2018 06:45,1793.95,1798,1786,1787.05,159552
27-03-2018 07:45,1785.1,1790,1778.45,1787.65,211248
27-03-2018 08:45,1788.55,1794,1755,1770.5,362681
27-03-2018 09:45,1771.25,1775.5,1769.45,1772.45,83941
28-03-2018 03:45,1776,1784.7,1768.9,1778.1,184838
28-03-2018 04:45,1778.05,1783,1771,1778.1,64401
28-03-2018 05:45,1777.65,1791.5,1777.5,1789.6,137628
28-03-2018 06:45,1789.7,1793,1782.6,1788.25,101471
28-03-2018 07:45,1787.8,1789.55,1784,1785.45,84578
28-03-2018 08:45,1785.85,1788,1763,1767.7,262181
28-03-2018 09:45,1766.7,1774.4,1763,1767.55,150147
02-04-2018 03:45,1769.9,1802.9,1769.9,1794,187119
02-04-2018 04:45,1793.85,1798,1785.05,1797.5,58436
02-04-2018 05:45,1796.9,1799.05,1791.4,1796.1,63530
02-04-2018 06:45,1797,1798.8,1792,1798.8,28407
02-04-2018 07:45,1798.7,1809,1797.75,1805.85,89180
02-04-2018 08:45,1805.9,1818.9,1798.3,1817.75,137214
02-04-2018 09:45,1818.9,1824.95,1817,1824,66309
03-04-2018 03:45,1820.05,1839.75,1820.05,1828.8,231292
03-04-2018 04:45,1829.25,1829.85,1812.95,1814.9,170113
03-04-2018 05:45,1814.95,1815,1804.1,1806.5,121179
03-04-2018 06:45,1807.15,1813,1802,1805.25,57094
03-04-2018 07:45,1805.7,1828,1802.7,1824.3,128499
03-04-2018 08:45,1825,1836,1818.05,1834.25,233147
03-04-2018 09:45,1834.65,1839.9,1832,1834.25,106217
04-04-2018 03:45,1838.45,1857.95,1838.45,1855.85,317696
04-04-2018 04:45,1855.35,1865.45,1853.5,1858.9,185347
04-04-2018 05:45,1859.45,1868,1850.7,1867.95,236039
04-04-2018 06:45,1868,1868.5,1858,1864.5,174951
04-04-2018 07:45,1862.45,1864.05,1845,1855.2,388475
04-04-2018 08:45,1855.15,1856.2,1843,1850.8,325234
04-04-2018 09:45,1850,1854,1845.5,1850.2,165070
05-04-2018 03:45,1869,1913.5,1869,1911,361149
05-04-2018 04:45,1910.75,1913,1901.75,1904.9,158342
05-04-2018 05:45,1904.55,1907.8,1898.6,1906.5,144107
05-04-2018 06:45,1907,1914.15,1901.5,1914.15,123521
05-04-2018 07:45,1913.95,1921.95,1911.9,1915.95,247402
05-04-2018 08:45,1916.5,1920,1911.1,1914.1,207642
05-04-2018 09:45,1915.05,1919,1913.05,1915.6,142302
06-04-2018 03:45,1917.95,1938.85,1909.65,1933.6,434213
06-04-2018 04:45,1934.15,1934.95,1918.3,1920,280112
06-04-2018 05:45,1920.45,1931.6,1919,1929,104361
06-04-2018 06:45,1928.55,1940.45,1928,1938.25,203600
06-04-2018 07:45,1938.4,1942.95,1930.5,1931.55,275663
06-04-2018 08:45,1931.85,1940,1928.95,1939.6,206280
06-04-2018 09:45,1939.7,1943,1932.1,1937,105264
09-04-2018 03:45,1945,1967.05,1945,1953.75,392313
09-04-2018 04:45,1954.3,1954.3,1944.9,1950.05,133117
09-04-2018 05:45,1950,1955,1944.6,1953.4,111950
09-04-2018 06:45,1953.1,1955.4,1942.95,1949.15,109340
09-04-2018 07:45,1948.65,1949.95,1932,1946.65,185025
09-04-2018 08:45,1946.95,1948.8,1939,1947.7,132374
09-04-2018 09:45,1947.6,1947.6,1937.7,1944.25,65086
10-04-2018 03:45,1948,1951.9,1927.1,1934,304974
10-04-2018 04:45,1935,1937.75,1914,1916.5,164873
10-04-2018 05:45,1916.15,1929.45,1915.25,1925.45,203625
10-04-2018 06:45,1924.8,1927.25,1921,1927.1,61895
10-04-2018 07:45,1927,1929.9,1923.85,1928.25,75482
10-04-2018 08:45,1928.25,1930.4,1921.5,1927.2,124860
10-04-2018 09:45,1926.8,1928.65,1920.5,1926.05,77715
11-04-2018 03:45,1924,1924,1892,1901.5,222468
11-04-2018 04:45,1901.45,1912.1,1898.85,1907.9,132145
11-04-2018 05:45,1908.05,1909.35,1900.05,1902,50539
