Date,OpenBandhanbnk,HighBandhanbnk,LowBandhanbnk,CloseBandhanbnk,VolumeBandhanbnk
27-03-2018 03:45,499,499,455.75,467.3,0
27-03-2018 04:45,466.75,479.4,460.7,479.35,14989380
27-03-2018 05:45,479.45,480,468.35,477,5172757
27-03-2018 06:45,477.1,484.75,475.55,483.7,6061562
27-03-2018 07:45,483.8,494.8,483.05,493.95,8046374
27-03-2018 08:45,493.55,498.35,476,476.9,10765267
27-03-2018 09:45,476.2,476.2,467.7,469.95,4371609
28-03-2018 03:45,464,478.6,464,469.5,3696952
28-03-2018 04:45,469.5,470.3,463.4,464.5,1387090
28-03-2018 05:45,464.9,474.2,463.45,471.5,1763187
28-03-2018 06:45,471.45,472.9,468.8,469.8,536535
28-03-2018 07:45,469.65,472.35,468,469.2,1678338
28-03-2018 08:45,469.2,474.15,467.45,467.75,2161310
28-03-2018 09:45,467.95,470.9,467.5,470.9,780436
02-04-2018 03:45,472.05,484.6,472.05,477.55,1793787
02-04-2018 04:45,477.55,478.8,476.75,477.85,360160
02-04-2018 05:45,477.8,480,477.6,479,443313
02-04-2018 06:45,479,479.4,477.7,477.9,230646
02-04-2018 07:45,477.9,483.95,476.55,478,1338824
02-04-2018 08:45,477.8,478,474.5,475,627044
02-04-2018 09:45,474.95,477.8,474.5,477.2,408614
03-04-2018 03:45,474.5,476.85,469.5,476,585565
03-04-2018 04:45,476,479.8,475,478,434925
03-04-2018 05:45,478.5,479,476.45,476.65,149531
03-04-2018 06:45,476.95,478.45,476.65,477.5,99005
03-04-2018 07:45,477.5,477.75,476.5,477.35,85945
03-04-2018 08:45,477.25,485.6,476.4,485.6,1127593
03-04-2018 09:45,485,485.2,482.45,483.85,294616
04-04-2018 03:45,485.1,485.75,478.4,479.6,262362
04-04-2018 04:45,479.5,487.35,479.5,482.35,472720
04-04-2018 05:45,482.45,482.5,479.35,480.45,184479
04-04-2018 06:45,480.35,488.45,480.35,484,452979
04-04-2018 07:45,483.75,483.75,480.2,481.9,342507
04-04-2018 08:45,481.9,488.8,480.15,485.6,551388
04-04-2018 09:45,485.6,486.75,484.4,485.55,188203
05-04-2018 03:45,489.55,509.55,488.05,505.65,3513597
05-04-2018 04:45,505.6,511.6,503.5,507.75,1444129
05-04-2018 05:45,507.9,508.9,505.25,506.05,355592
05-04-2018 06:45,506.4,508.75,505.6,507.2,253971
05-04-2018 07:45,507.2,507.55,501.9,501.9,509442
05-04-2018 08:45,502,509.45,499,508.75,1070509
05-04-2018 09:45,508.65,514.7,508.65,514.4,997609
06-04-2018 03:45,513,517.7,509.5,511.85,729501
06-04-2018 04:45,512,513.5,507.65,508.4,187892
06-04-2018 05:45,508.45,512,507.65,510.35,228953
06-04-2018 06:45,510.1,511.7,509.1,509.75,94532
06-04-2018 07:45,509.75,511,508.15,508.25,88677
06-04-2018 08:45,508.25,511.6,508.1,508.5,271834
06-04-2018 09:45,508.75,508.95,505.75,508.25,236323
09-04-2018 03:45,508.25,511.4,500.1,501.9,314167
09-04-2018 04:45,501.8,503.3,500.5,500.65,91068
09-04-2018 05:45,500.65,500.8,497.2,497.5,135696
09-04-2018 06:45,497.25,504.9,496.15,504.7,274149
09-04-2018 07:45,504.65,512.5,504.65,508.8,570728
09-04-2018 08:45,509.45,519.5,508.7,515,1068218
09-04-2018 09:45,514.95,515,512.3,514.25,194689
10-04-2018 03:45,515.05,518.7,512,514.2,445731
10-04-2018 04:45,514.2,514.9,510.4,512.3,170904
10-04-2018 05:45,512.55,513.3,511.2,512.4,66912
10-04-2018 06:45,512.55,513.25,512.05,512.15,42965
10-04-2018 07:45,512,513.7,512,513.2,57318
10-04-2018 08:45,513.65,519,513.15,517.2,588314
10-04-2018 09:45,517.5,520.55,517.5,518.65,357397
11-04-2018 03:45,519.9,519.9,513.15,516.55,418074
11-04-2018 04:45,516.55,516.7,515,515.35,76487
11-04-2018 05:45,515.3,516.75,515.15,515.75,129009
11-04-2018 06:45,515.85,525.15,515.85,524.5,879275
11-04-2018 07:45,524.65,534.4,524.45,533.45,1056422
11-04-2018 08:45,533.3,534.75,528.5,533.25,679105
11-04-2018 09:45,533.9,534.95,532.7,533.5,304122
12-04-2018 03:45,531,540.4,528,539.1,826716
12-04-2018 04:45,538.75,539,534.2,538.2,312877
12-04-2018 05:45,538.3,538.9,537,537,87367
12-04-2018 06:45,537,537.5,534.35,535.55,133173
12-04-2018 07:45,535.6,538.65,534.1,534.7,131653
12-04-2018 08:45,534.3,537.55,532.5,535.85,231566
12-04-2018 09:45,535.95,536.1,530.8,534.75,158805
13-04-2018 03:45,533,536.8,531.15,533.85,261900
13-04-2018 04:45,533.9,534,533,533.3,48850
13-04-2018 05:45,533.3,533.65,532.2,532.85,47905
13-04-2018 06:45,532.9,534,527.95,528.2,139226
13-04-2018 07:45,528.5,532,526.5,527.45,137767
13-04-2018 08:45,527.15,529.75,527.1,528.8,196563
13-04-2018 09:45,529,529.1,528.1,528.5,214007
16-04-2018 03:45,523.9,532,522,528.25,202362
16-04-2018 04:45,528.2,528.75,523.1,524.45,101549
16-04-2018 05:45,524.35,524.5,522.6,522.85,58980
16-04-2018 06:45,522.75,522.9,522,522.35,53147
16-04-2018 07:45,522.35,524.05,521.75,522.15,74837
16-04-2018 08:45,522.1,522.15,516.45,519.15,180317
16-04-2018 09:45,519,519.4,516.45,516.6,84515
17-04-2018 03:45,520.8,521,513,513,210650
17-04-2018 04:45,513,513,504.9,506.75,270939
17-04-2018 05:45,507.1,508.15,500,502.45,245667
17-04-2018 06:45,502.4,503.95,502.05,503.75,64541
17-04-2018 07:45,503.8,505.45,502.85,503.15,84134
17-04-2018 08:45,503.25,506.2,502.6,505,150507
17-04-2018 09:45,505.05,505.75,504.25,505.05,124034
18-04-2018 03:30,505.1,505.1,505.1,505.1,0
18-04-2018 04:30,508.15,513.1,505.6,509.8,267560
18-04-2018 05:30,509.9,510.9,507.3,508.35,84971
18-04-2018 06:30,508.55,509.8,506.5,506.9,65301
18-04-2018 07:30,506.85,507.6,505.5,506.5,56638
18-04-2018 08:30,506.15,507,501.75,502.8,118677
18-04-2018 09:30,502.85,506.1,501,504.15,221096
19-04-2018 03:45,505.2,508.55,503.25,505.2,143200
19-04-2018 04:45,505.2,505.7,505,505.2,59922
19-04-2018 05:45,505.5,505.9,505,505.1,58649
19-04-2018 06:45,505.1,505.45,505,505.45,46130
