Date,OpenBhartiartl,HighBhartiartl,LowBhartiartl,CloseBhartiartl,VolumeBhartiartl
13-03-2018 03:45,422.5,428.45,420.5,425,1617057
13-03-2018 04:45,425,427.8,423.9,424.25,684191
13-03-2018 05:45,424.25,425.2,422.65,424.75,369513
13-03-2018 06:45,424.75,426.35,421.15,423.45,457782
13-03-2018 07:45,423.45,425.45,420.65,421.8,587652
13-03-2018 08:45,421.5,426.85,420.8,425.75,924380
13-03-2018 09:45,425.5,427.95,425.5,427.7,495087
14-03-2018 03:45,425.9,425.9,418.65,419.4,699490
14-03-2018 04:45,419.5,422.7,418.7,422.05,645617
14-03-2018 05:45,422.35,422.35,420.05,420.7,342641
14-03-2018 06:45,420.5,422.6,420,421.1,338733
14-03-2018 07:45,421.2,423.3,421,421.5,810044
14-03-2018 08:45,421.25,424.35,419.9,422.75,712011
14-03-2018 09:45,422.65,423.05,421.65,422.6,227222
15-03-2018 03:45,422.65,422.8,417.45,420.2,621352
15-03-2018 04:45,420.2,420.45,418.9,419.1,251401
15-03-2018 05:45,419,421.5,419,420.4,508601
15-03-2018 06:45,420.2,424.15,420,422.75,586861
15-03-2018 07:45,422.5,422.55,418.8,419.3,375382
15-03-2018 08:45,419.35,422.2,419.05,420.45,639950
15-03-2018 09:45,420.5,421,420,420.45,291732
16-03-2018 03:45,415.2,423,415,419.05,916368
16-03-2018 04:45,419.1,420.45,418.7,418.75,401532
16-03-2018 05:45,418.85,419.55,417.15,418.9,326882
16-03-2018 06:45,418.95,422.75,418.7,421.35,655394
16-03-2018 07:45,421.45,426.6,420.2,423.65,968626
16-03-2018 08:45,422.85,422.95,415.3,415.7,2373828
16-03-2018 09:45,415.85,420.5,415.25,416.75,1561994
19-03-2018 03:45,419,421.35,415.7,418.4,592574
19-03-2018 04:45,418.45,419.8,417.2,417.8,346180
19-03-2018 05:45,417.9,418,411.2,411.95,562109
19-03-2018 06:45,412.85,412.9,404.25,406.65,904451
19-03-2018 07:45,406.25,407.45,403.4,405,519768
19-03-2018 08:45,405,405.2,400.7,401.75,915296
19-03-2018 09:45,401.6,403,397,399.5,1558494
20-03-2018 03:45,399.6,402.65,393.75,396.35,1470826
20-03-2018 04:45,396.25,403.1,396.05,399.6,1206271
20-03-2018 05:45,399.75,403.2,399.75,401.8,369003
20-03-2018 06:45,401.95,401.95,396.7,397.2,800027
20-03-2018 07:45,397.25,397.25,393.05,395.45,892267
20-03-2018 08:45,395.4,400.65,394.25,400.4,2139744
20-03-2018 09:45,400.4,403.35,399.2,400.4,579213
21-03-2018 03:45,403,413.8,402.5,412.5,1738555
21-03-2018 04:45,412.65,414.8,411.9,414.35,737920
21-03-2018 05:45,414.45,415.65,413.65,415.2,837812
21-03-2018 06:45,415.2,416.75,414.2,415.75,958222
21-03-2018 07:45,415.7,417.5,414.8,414.95,1147457
21-03-2018 08:45,415.05,418.9,414.25,418.35,2031249
21-03-2018 09:45,418.6,420,417.5,418.2,894931
22-03-2018 03:45,413.75,419.4,412.2,416.85,1497989
22-03-2018 04:45,416.75,419.25,416.5,416.75,651430
22-03-2018 05:45,416.75,417.35,415.25,415.85,598748
22-03-2018 06:45,415.8,418.3,415.75,415.9,282982
22-03-2018 07:45,416.1,416.8,415.2,415.75,503667
22-03-2018 08:45,415.8,415.95,413.55,414.55,1019807
22-03-2018 09:45,414.6,417.6,414.6,415.6,278323
23-03-2018 03:45,410.3,418.6,409.45,409.65,1158964
23-03-2018 04:45,409.65,411.45,408.4,409.55,643473
23-03-2018 05:45,409.5,410.3,406.35,407.55,500788
23-03-2018 06:45,407.45,409.7,406.7,407.3,404230
23-03-2018 07:45,408.1,408.7,406.8,407.1,666845
23-03-2018 08:45,407,414.2,405.55,412.65,1192185
23-03-2018 09:45,413.3,414.5,412.3,412.5,560251
26-03-2018 03:45,412,413.15,408.5,409.6,568915
26-03-2018 04:45,409.6,410.3,406.7,409.9,433839
26-03-2018 05:45,409.8,411.8,409.1,409.8,306969
26-03-2018 06:45,409.8,410,407.75,408.55,335312
26-03-2018 07:45,408.55,416.75,408.1,413.4,1004469
26-03-2018 08:45,413.65,422.55,413.45,420.75,1244391
26-03-2018 09:45,421.1,422.25,417.45,421.5,506548
27-03-2018 03:45,420.3,421.7,411.25,412.65,983351
27-03-2018 04:45,412.65,414.35,411.5,411.8,520917
27-03-2018 05:45,411.6,412.6,409.7,410.5,671855
27-03-2018 06:45,410.5,412.2,408.7,409.7,814520
27-03-2018 07:45,409.75,417.85,409,415.6,1560114
27-03-2018 08:45,415.7,416.75,412.2,413.3,1037491
27-03-2018 09:45,413.3,413.65,413,413.6,481579
28-03-2018 03:45,411,411.35,402.25,402.5,1473780
28-03-2018 04:45,402.5,403.7,400,401,1289071
28-03-2018 05:45,401.05,402.6,400,402.6,752869
28-03-2018 06:45,402.45,402.5,401.75,402.05,931569
28-03-2018 07:45,402.2,402.45,399.3,400.25,1501474
28-03-2018 08:45,400.25,401.1,398.1,399.05,2925253
28-03-2018 09:45,399.1,399.4,395.95,397.9,1402884
02-04-2018 03:45,400.95,400.95,391.3,391.9,1366390
02-04-2018 04:45,391.85,395.3,391.85,394,557774
02-04-2018 05:45,393.8,394.75,392.5,392.9,457980
02-04-2018 06:45,392.85,393.4,390.6,391.5,729424
02-04-2018 07:45,391.5,396.35,391.35,396.1,857715
02-04-2018 08:45,396.75,397.2,393.85,395.5,742888
02-04-2018 09:45,395.45,395.45,393.6,395.1,264499
03-04-2018 03:45,392.45,398.4,391.6,395.5,990173
03-04-2018 04:45,395.45,396.2,393.55,395.6,473176
03-04-2018 05:45,395.8,398.5,395.1,397.4,500925
03-04-2018 06:45,397.4,398,394.8,397.55,525143
03-04-2018 07:45,397.25,398,396.1,397.8,363845
03-04-2018 08:45,397.9,402.6,397.9,401.8,1318070
03-04-2018 09:45,401.65,403.55,401,402.2,379580
04-04-2018 03:45,403.1,403.1,396.75,399.55,714704
04-04-2018 04:45,399.7,404.6,399.3,403,494271
04-04-2018 05:45,402.8,403,399.9,402.4,530378
04-04-2018 06:45,402.4,403.3,400.8,401,362327
04-04-2018 07:45,400.75,400.85,395.65,396.65,718255
04-04-2018 08:45,396.85,397.25,395.4,395.65,490001
04-04-2018 09:45,395.5,395.7,393,394.6,311465
05-04-2018 03:45,398.5,400.75,391.2,395.55,2140975
05-04-2018 04:45,395.75,396.8,393,394.3,1088663
05-04-2018 05:45,394.1,395.55,394,394.3,946582
05-04-2018 06:45,394.25,394.8,394,394.4,729850
05-04-2018 07:45,394.65,394.65,393.65,394.2,1123230
05-04-2018 08:45,394.15,395.1,393.6,393.9,2181709
05-04-2018 09:45,394,394,393,393.9,570814
06-04-2018 03:45,394.05,396.3,385.2,387.8,1597071
06-04-2018 04:45,387.95,389.65,384.75,386.6,1777678
06-04-2018 05:45,386.4,386.6,385.15,385.6,433015
06-04-2018 06:45,385.4,386.3,383.2,384.55,1036004
06-04-2018 07:45,384.45,385.95,383.55,384.6,786734
06-04-2018 08:45,384.75,386.9,384.55,385.6,1748950
06-04-2018 09:45,385.7,385.7,383.5,384.95,1111191
09-04-2018 03:45,382.95,386.7,376.95,385.5,4016129
09-04-2018 04:45,385.4,385.85,382,383.55,1303174
