Date,OpenDmart,HighDmart,LowDmart,CloseDmart,VolumeDmart
13-03-2018 03:45,1313,1329.6,1313,1327.3,119003
13-03-2018 04:45,1327.05,1329.9,1323.15,1325.35,28403
13-03-2018 05:45,1324.9,1326,1318.05,1321.7,27235
13-03-2018 06:45,1322.75,1332.95,1321.5,1327.55,46202
13-03-2018 07:45,1328.4,1334.55,1320.3,1325.1,85719
13-03-2018 08:45,1325.05,1343,1324.1,1333,173700
13-03-2018 09:45,1333.65,1339.95,1333.65,1337.9,49219
14-03-2018 03:45,1336,1363.65,1328.55,1348,339107
14-03-2018 04:45,1351,1358.2,1347.5,1354.1,67760
14-03-2018 05:45,1354.15,1356.95,1346.55,1352.5,82203
14-03-2018 06:45,1353,1353.25,1340.25,1345.5,60073
14-03-2018 07:45,1345.4,1346,1337.3,1345.25,44569
14-03-2018 08:45,1345.1,1352.1,1342,1344.95,89844
14-03-2018 09:45,1343.35,1345.15,1341,1342.75,57956
15-03-2018 03:45,1342,1363.8,1335,1359.75,227741
15-03-2018 04:45,1358.35,1359.7,1348.6,1353.85,75220
15-03-2018 05:45,1354.35,1355,1350.5,1352.05,14053
15-03-2018 06:45,1353.2,1359.5,1352,1359,21258
15-03-2018 07:45,1358,1360,1350.2,1353.85,53241
15-03-2018 08:45,1355,1364.15,1354.8,1359.4,168040
15-03-2018 09:45,1358.55,1362,1356,1361,68288
16-03-2018 03:45,1360.8,1365,1360,1362.85,181181
16-03-2018 04:45,1363.2,1363.6,1355,1358,66725
16-03-2018 05:45,1358.75,1358.8,1347.85,1352.6,57798
16-03-2018 06:45,1352.8,1359.65,1349,1357.85,54032
16-03-2018 07:45,1357.95,1364.9,1352.25,1363.45,107644
16-03-2018 08:45,1363,1365,1353.15,1364.85,534889
16-03-2018 09:45,1365,1377.5,1364.95,1368,171326
19-03-2018 03:45,1367,1384,1363.35,1371,246253
19-03-2018 04:45,1371,1373,1348.25,1356,120394
19-03-2018 05:45,1356.5,1357.9,1338.65,1343,88513
19-03-2018 06:45,1344,1344,1329.35,1335,151452
19-03-2018 07:45,1335,1344.8,1334,1343,83545
19-03-2018 08:45,1342.3,1349.95,1341.3,1344.7,104392
19-03-2018 09:45,1344.6,1345,1335,1342.55,65701
20-03-2018 03:45,1330.15,1338.1,1300.15,1324.75,223297
20-03-2018 04:45,1324.9,1324.9,1311.05,1322.35,83657
20-03-2018 05:45,1323,1332,1320.3,1327,66566
20-03-2018 06:45,1326.15,1349,1325,1336.8,159283
20-03-2018 07:45,1336,1342.55,1326.85,1342,64723
20-03-2018 08:45,1342.5,1349,1336,1345.05,98196
20-03-2018 09:45,1345.6,1349.2,1344.35,1345.95,56013
21-03-2018 03:45,1350,1354,1341.1,1347.7,156019
21-03-2018 04:45,1347.95,1348.85,1339.3,1346,49785
21-03-2018 05:45,1345.6,1349,1338.2,1343.35,56869
21-03-2018 06:45,1342.95,1343.95,1336.9,1341.7,48715
21-03-2018 07:45,1341.7,1343.55,1332,1332.3,44102
21-03-2018 08:45,1333,1342,1332.6,1342,86905
21-03-2018 09:45,1342.5,1342.5,1335.45,1339.6,41758
22-03-2018 03:45,1339,1345.05,1329.6,1339.25,77820
22-03-2018 04:45,1338.3,1339.35,1330.85,1334.9,33114
22-03-2018 05:45,1336.15,1336.7,1322,1323.75,106808
22-03-2018 06:45,1324.55,1324.55,1316.1,1316.7,58660
22-03-2018 07:45,1317.15,1332.9,1316.8,1327.3,72586
22-03-2018 08:45,1327.3,1327.75,1312.05,1319.6,92984
22-03-2018 09:45,1321,1323.8,1318,1320.1,59052
23-03-2018 03:45,1293,1296.4,1279.95,1293,168549
23-03-2018 04:45,1292.55,1293.45,1287.5,1289.9,42113
23-03-2018 05:45,1288.6,1290.7,1280.9,1282,54790
23-03-2018 06:45,1283.55,1289.85,1281.25,1288.65,35712
23-03-2018 07:45,1289.05,1295,1286.1,1288.9,79325
23-03-2018 08:45,1288.9,1289,1280.9,1281.1,88358
23-03-2018 09:45,1281.75,1281.95,1277.5,1279,50501
26-03-2018 03:45,1289,1299.5,1289,1292,77912
26-03-2018 04:45,1292,1293,1283.05,1287.65,63015
26-03-2018 05:45,1287.55,1293.9,1285.1,1292.5,42900
26-03-2018 06:45,1293,1304.95,1291.05,1303.4,89132
26-03-2018 07:45,1303.15,1336.45,1298.15,1336.3,194932
26-03-2018 08:45,1338.95,1351.3,1328.4,1342.5,303268
26-03-2018 09:45,1340.75,1342.75,1336,1336,66579
27-03-2018 03:45,1357.1,1365.9,1347.95,1353.1,187774
27-03-2018 04:45,1353.9,1356.95,1350.15,1353.55,29663
27-03-2018 05:45,1354,1355.7,1350.3,1353.15,21153
27-03-2018 06:45,1352.85,1354,1345.05,1353.9,53632
27-03-2018 07:45,1353.75,1360,1353,1359.5,75474
27-03-2018 08:45,1359.5,1364.65,1352,1355.35,90307
27-03-2018 09:45,1354.25,1356.6,1353.05,1355.2,42129
28-03-2018 03:45,1341.05,1350,1336.05,1336.1,88756
28-03-2018 04:45,1336.2,1338.9,1333.65,1335,58882
28-03-2018 05:45,1334.5,1338,1330.5,1334.5,56094
28-03-2018 06:45,1335,1335.85,1328.5,1328.5,34425
28-03-2018 07:45,1328.6,1330,1322.45,1327.45,73595
28-03-2018 08:45,1326.65,1335,1326,1333.95,154984
28-03-2018 09:45,1329.8,1330,1310.2,1312,127595
02-04-2018 03:45,1327,1343.65,1326.95,1333.8,106957
02-04-2018 04:45,1334.15,1361.05,1330,1356.4,184825
02-04-2018 05:45,1358,1363.8,1354.1,1354.2,121458
02-04-2018 06:45,1354.2,1358.45,1346.5,1357.5,52593
02-04-2018 07:45,1357.55,1392.85,1356.3,1379,324673
02-04-2018 08:45,1378.7,1383.25,1364,1364.65,185217
02-04-2018 09:45,1363.55,1363.55,1345,1345,150717
03-04-2018 03:45,1338.2,1361,1338.2,1357.9,152206
03-04-2018 04:45,1357,1359.85,1345,1348.95,56772
03-04-2018 05:45,1349.9,1357,1347.45,1348.05,38579
03-04-2018 06:45,1349,1364,1348,1356.1,60468
03-04-2018 07:45,1356.1,1358,1349.5,1357,33373
03-04-2018 08:45,1356.35,1370.9,1354.95,1364,149357
03-04-2018 09:45,1363.05,1364.9,1362,1364.5,47652
04-04-2018 03:45,1370,1383,1362,1380,189423
04-04-2018 04:45,1379.65,1385.05,1370.35,1371.15,101107
04-04-2018 05:45,1371.6,1378.35,1367.2,1376.15,67614
04-04-2018 06:45,1373.5,1380,1366.5,1369.85,73534
04-04-2018 07:45,1369,1372.95,1350,1361.15,135131
04-04-2018 08:45,1361,1361,1353.75,1356.5,53918
04-04-2018 09:45,1356.65,1363.4,1355.6,1359.15,60750
05-04-2018 03:45,1378.45,1385,1372,1379.7,148116
05-04-2018 04:45,1380.45,1381.5,1376.5,1379.3,38098
05-04-2018 05:45,1379.45,1409,1378.05,1401.15,640257
05-04-2018 06:45,1401.85,1404.4,1396,1398.5,111588
05-04-2018 07:45,1398,1403,1396.05,1398.9,62508
05-04-2018 08:45,1399.1,1407.7,1396.5,1402.45,155164
05-04-2018 09:45,1402.6,1406,1399.25,1401.3,103631
06-04-2018 03:45,1401,1411.8,1385,1407.9,310093
06-04-2018 04:45,1407.5,1408.95,1396,1399,73154
06-04-2018 05:45,1398.45,1408,1397.05,1403.4,61071
06-04-2018 06:45,1404.05,1417.9,1402.05,1416,164373
06-04-2018 07:45,1415.5,1419.6,1410.4,1416,87689
06-04-2018 08:45,1414.5,1423,1412.5,1417.8,170684
06-04-2018 09:45,1416.15,1423.8,1416.15,1417.05,95779
09-04-2018 03:45,1412.1,1433,1412.1,1430.05,236340
09-04-2018 04:45,1430.9,1430.9,1423.55,1427.7,48449
09-04-2018 05:45,1428.5,1429,1425.05,1426.2,27023
09-04-2018 06:45,1426.2,1437.4,1426,1435.7,102277
09-04-2018 07:45,1435.5,1440,1431.15,1437.4,103597
09-04-2018 08:45,1437.4,1439.9,1431.05,1438,84626
09-04-2018 09:45,1438.8,1444,1438,1440,93349
10-04-2018 03:45,1448,1474.2,1448,1468.1,364668
10-04-2018 04:45,1468,1470.8,1456,1463.65,138077
10-04-2018 05:45,1463.1,1479.5,1462,1478.65,178263
10-04-2018 06:45,1477,1481.9,1473.1,1481,108434
10-04-2018 07:45,1480.5,1494.6,1477.1,1491.45,263928
10-04-2018 08:45,1491,1491.5,1482.1,1489.9,221006
10-04-2018 09:45,1489.95,1490.8,1485.5,1487.9,170903
11-04-2018 03:45,1502.8,1513.8,1472,1487.85,543046
11-04-2018 04:45,1487.55,1487.75,1476.3,1482.75,83074
11-04-2018 05:45,1482,1484.45,1479.15,1482.65,41570
11-04-2018 06:45,1483.4,1483.95,1477.5,1477.5,53580
11-04-2018 07:45,1478,1482.95,1478,1479.45,49757
11-04-2018 08:45,1479.65,1480,1472.7,1474.45,131716
11-04-2018 09:45,1474.5,1475,1467.65,1473,107158
12-04-2018 03:45,1474.95,1487.2,1460.25,1479.75,220524
12-04-2018 04:45,1479,1483.8,1473,1478.95,55347
12-04-2018 05:45,1479,1483,1474.5,1474.95,42884
12-04-2018 06:45,1474.85,1475,1469,1473.3,33648
12-04-2018 07:45,1474.05,1474.85,1464.3,1464.3,47293
12-04-2018 08:45,1463,1475,1460.25,1474.7,86122
12-04-2018 09:45,1474,1475,1467.1,1471.25,55995
13-04-2018 03:45,1473.05,1485.1,1470,1476.8,101002
13-04-2018 04:45,1476.6,1482.7,1475.1,1479.55,27449
13-04-2018 05:45,1479.8,1488.7,1478.05,1484.8,53135
13-04-2018 06:45,1483.95,1485.95,1476.8,1481.15,32691
13-04-2018 07:45,1482.05,1489.2,1472.8,1477.65,75723
13-04-2018 08:45,1476,1479.5,1465.7,1468.95,87830
13-04-2018 09:45,1467.95,1470,1467.95,1469.1,50341
16-04-2018 03:45,1464.75,1483,1461.6,1475.85,137780
16-04-2018 04:45,1476,1478.45,1472.3,1473,31052
16-04-2018 05:45,1473,1478,1468.25,1477,41082
16-04-2018 06:45,1476,1482.9,1475,1478.9,27842
16-04-2018 07:45,1479,1480.5,1476.55,1478.6,26175
16-04-2018 08:45,1478,1485,1477.6,1483,101031
16-04-2018 09:45,1483.9,1484,1477.5,1481.4,44678
17-04-2018 03:45,1493.8,1493.8,1483,1489.15,97002
17-04-2018 04:45,1488,1491,1487.6,1488,54090
17-04-2018 05:45,1487.9,1499,1486.1,1495,128488
17-04-2018 06:45,1496,1502.95,1488.55,1494.55,169866
17-04-2018 07:45,1495.45,1502.2,1495.4,1499,78151
17-04-2018 08:45,1498.55,1517.5,1495.1,1508.05,298370
17-04-2018 09:45,1508,1508,1495,1495,128189
18-04-2018 03:30,1506.8,1506.8,1506.8,1506.8,0
18-04-2018 04:30,1498,1507.7,1495.5,1500.7,155393
18-04-2018 05:30,1500.85,1504.45,1499,1499.6,49848
18-04-2018 06:30,1499.05,1502.15,1496.25,1499.65,35736
18-04-2018 07:30,1499.9,1503.1,1498.5,1499.45,28432
18-04-2018 08:30,1498.65,1500,1491.25,1492.3,51753
18-04-2018 09:30,1494,1499,1486,1492.65,111138
19-04-2018 03:45,1497.95,1500,1485.65,1489.25,99140
19-04-2018 04:45,1490.8,1491.4,1483.25,1485.9,31742
19-04-2018 05:45,1485.7,1492.4,1484.1,1489.35,27861
19-04-2018 06:45,1489.4,1490.7,1486.6,1489.6,13595
