Date,OpenEichermot,HighEichermot,LowEichermot,CloseEichermot,VolumeEichermot
13-03-2018 03:45,28372.75,28520,28336.7,28504.9,7118
13-03-2018 04:45,28505.25,28580,28493.7,28565,3338
13-03-2018 05:45,28559.1,28743,28551.15,28724.95,6276
13-03-2018 06:45,28716.25,28746,28707.1,28722.15,3573
13-03-2018 07:45,28723.2,28793,28691,28712.05,6223
13-03-2018 08:45,28710.65,28850,28710.65,28850,9946
13-03-2018 09:45,28849.9,28907.05,28843.4,28902.65,4669
14-03-2018 03:45,28850,29050,28791.1,28960.3,7366
14-03-2018 04:45,28960,28998.1,28913.5,28971.2,7016
14-03-2018 05:45,28974.9,28974.9,28875,28926.7,5301
14-03-2018 06:45,28914.55,28927,28850,28922.05,5752
14-03-2018 07:45,28924,28924,28791.25,28852.9,9297
14-03-2018 08:45,28850,28870,28820.75,28835,6461
14-03-2018 09:45,28835,28870,28829.05,28846.65,5179
15-03-2018 03:45,28849.95,28849.95,28692.6,28805.15,5834
15-03-2018 04:45,28805.45,28816.35,28760.05,28770,5463
15-03-2018 05:45,28768.7,28788.3,28768.1,28775.35,1579
15-03-2018 06:45,28771,28928.3,28769.35,28810,3278
15-03-2018 07:45,28810.2,28890,28729.85,28770.7,3377
15-03-2018 08:45,28773,28773,28660.05,28741,3798
15-03-2018 09:45,28750,28750,28631.35,28695.55,1896
16-03-2018 03:45,28631,28824.95,28631,28768.3,2887
16-03-2018 04:45,28782,28784.5,28500.2,28513.8,2888
16-03-2018 05:45,28518,28572.95,28293.75,28380,2914
16-03-2018 06:45,28375.35,28455.1,28300.9,28356.65,1878
16-03-2018 07:45,28373.35,28704.2,28324.7,28599.95,4999
16-03-2018 08:45,28574.1,28585.7,27943.95,27961.75,21333
16-03-2018 09:45,27984.45,28400,27890,28079.15,16522
19-03-2018 03:45,28120,28244.5,27755,27772.1,3799
19-03-2018 04:45,27761,27847.5,27701,27751.4,1014
19-03-2018 05:45,27740.45,27791,27592.15,27733.85,1946
19-03-2018 06:45,27752.75,27775.3,27500,27538.15,1735
19-03-2018 07:45,27516.3,27618.1,27502.95,27580.6,2299
19-03-2018 08:45,27584.9,27689.95,27335,27335,5678
19-03-2018 09:45,27335.55,27459.75,27320.05,27403.05,3024
20-03-2018 03:45,27379.6,27815.95,27379.6,27704,6076
20-03-2018 04:45,27714,27970,27703.9,27852,4483
20-03-2018 05:45,27870,28240,27870,28227.1,5600
20-03-2018 06:45,28247.95,28393.75,28155,28249.95,7975
20-03-2018 07:45,28225,28348.95,28066.5,28289.45,7160
20-03-2018 08:45,28282,28384,28125.65,28384,11456
20-03-2018 09:45,28326.05,28424,28292.1,28360.45,4272
21-03-2018 03:45,28380.05,28429.3,28022.6,28222,6832
21-03-2018 04:45,28222,28235.3,28025,28060,2991
21-03-2018 05:45,28048.1,28060,27911.05,27932,3405
21-03-2018 06:45,27931,27943.15,27832.05,27840,3386
21-03-2018 07:45,27830.75,27936.95,27830.75,27928.05,5558
21-03-2018 08:45,27925,28095.8,27870.75,27950,8888
21-03-2018 09:45,27968.65,27984.05,27901,27980.85,3050
22-03-2018 03:45,27980.85,28485.1,27980.85,28285.2,7791
22-03-2018 04:45,28284.95,28353.95,28250.7,28328.55,1724
22-03-2018 05:45,28315,28315,28220,28280,2265
22-03-2018 06:45,28276.9,28318.95,28179.95,28179.95,2364
22-03-2018 07:45,28179.95,28250,28075,28199.95,2745
22-03-2018 08:45,28198.95,28266,28066.8,28081.4,5772
22-03-2018 09:45,28051.75,28051.75,27926.8,28030.5,3452
23-03-2018 03:45,27570.05,27825.55,27340.65,27537.45,7697
23-03-2018 04:45,27544.7,27548.45,27400,27481,3016
23-03-2018 05:45,27481,27497,27450,27451,2569
23-03-2018 06:45,27455.5,27580.75,27400,27580.3,2812
23-03-2018 07:45,27632.35,27733.1,27609.45,27664,4447
23-03-2018 08:45,27650,27989.9,27601.3,27931,16185
23-03-2018 09:45,27942.45,28010,27800,27896.1,7385
26-03-2018 03:45,27802,27846.7,27616,27671,3821
26-03-2018 04:45,27664.15,27812.65,27650,27739.15,2417
26-03-2018 05:45,27739,27945.85,27700.1,27850,2546
26-03-2018 06:45,27850,27939.95,27840.05,27883.2,2140
26-03-2018 07:45,27884.85,27999.95,27784.95,27902.3,5186
26-03-2018 08:45,27874.05,27988.85,27813.25,27822.7,6997
26-03-2018 09:45,27866.15,27890,27790.55,27873.05,3130
27-03-2018 03:45,28170,28229.6,28016.55,28156.25,3610
27-03-2018 04:45,28169.6,28354.6,28169.6,28312.65,3947
27-03-2018 05:45,28324,28325,28232.75,28300,2738
27-03-2018 06:45,28286.05,28539,28285.4,28441.05,10088
27-03-2018 07:45,28435,28502.15,28382,28471.9,4572
27-03-2018 08:45,28495.2,28530,28384,28449.95,7249
27-03-2018 09:45,28454.65,28493.15,28366,28424.1,3323
28-03-2018 03:45,28127.65,28321.95,28015.3,28235.1,6818
28-03-2018 04:45,28237.7,28342.45,28230.05,28333.85,3210
28-03-2018 05:45,28331.5,28445.7,28300,28300,9585
28-03-2018 06:45,28300.5,28368.4,28253.95,28281.6,2526
28-03-2018 07:45,28265,28265,28110.2,28234.85,3556
28-03-2018 08:45,28220.8,28400.95,28169.5,28219.1,25662
28-03-2018 09:45,28196.9,28649.95,28163.7,28330,27138
02-04-2018 03:45,28510.1,28803.7,28411.15,28506,6660
02-04-2018 04:45,28486.3,28524.65,28453.8,28493.85,4392
02-04-2018 05:45,28480,28519,28470,28489.25,1817
02-04-2018 06:45,28497.85,28517.4,28458,28498.7,2210
02-04-2018 07:45,28497.8,28512.8,28432,28449.95,2865
02-04-2018 08:45,28450,28450,28213.4,28285,7995
02-04-2018 09:45,28286.25,28320,28250,28288.75,5121
03-04-2018 03:45,28228,28228,27878.9,27938.3,7234
03-04-2018 04:45,27927.2,27980.25,27876.9,27876.9,2917
03-04-2018 05:45,27879.55,27949.75,27800,27839.8,3001
03-04-2018 06:45,27810.95,27912.4,27807.85,27846.45,3442
03-04-2018 07:45,27851.95,27957.95,27837.05,27904.25,4880
03-04-2018 08:45,27904.2,28041.6,27892,27998.4,7392
03-04-2018 09:45,27993.45,28013.25,27930.1,27990,2069
04-04-2018 03:45,28480,28805.65,28480,28748.85,14082
04-04-2018 04:45,28752.45,29020.7,28752.45,28990.2,14637
04-04-2018 05:45,28978.05,29021.95,28970,29000.3,11160
04-04-2018 06:45,28998.75,29220,28990.05,29198,16902
04-04-2018 07:45,29177.05,29177.05,28820,28970.1,11821
04-04-2018 08:45,28960,28970.15,28760,28954.65,11715
04-04-2018 09:45,28949.95,28984.95,28900,28901,5513
05-04-2018 03:45,29199.4,29442.3,29121.45,29326.4,9974
05-04-2018 04:45,29332.1,29420,29298.95,29349.5,4112
05-04-2018 05:45,29344.4,29350,29140,29318.5,5679
05-04-2018 06:45,29302.05,29424.65,29281.95,29424.65,4000
05-04-2018 07:45,29424,29450,29347.7,29401.95,5245
05-04-2018 08:45,29416.9,29699.95,29342.4,29697.15,19300
05-04-2018 09:45,29690,29748.3,29677.75,29677.75,2696
06-04-2018 03:45,29746.7,29899,29583.35,29693,9336
06-04-2018 04:45,29682.05,29869.9,29649.65,29780,5055
06-04-2018 05:45,29778.6,29800.45,29760,29785.45,2824
06-04-2018 06:45,29786.1,29800,29734.35,29795.05,6034
06-04-2018 07:45,29800,29884,29777.7,29800,9792
06-04-2018 08:45,29800,29801,29751,29800,9306
06-04-2018 09:45,29794.9,29825,29779.95,29800,3847
09-04-2018 03:45,29899.95,29966,29770.05,29876.6,4599
09-04-2018 04:45,29850.5,29882.65,29801,29869.8,6152
09-04-2018 05:45,29866.9,29897.25,29850,29857.9,1917
09-04-2018 06:45,29861.3,29884.25,29840,29855.05,3270
09-04-2018 07:45,29838,29864,29762.35,29820,3132
09-04-2018 08:45,29822,29848,29785,29832.5,3225
09-04-2018 09:45,29833,29833,29750,29805.75,2312
10-04-2018 03:45,29846.5,29846.5,29658.6,29800,2801
10-04-2018 04:45,29799.75,30162.25,29780,30054.95,8793
10-04-2018 05:45,30060,30068,29973,29995,11461
10-04-2018 06:45,29995,30000,29975,29998.1,5991
10-04-2018 07:45,29995,30000,29975,29999.55,2518
10-04-2018 08:45,29999.95,30017.7,29925,29956.7,11598
10-04-2018 09:45,29934.6,30012.25,29880,29972.05,3327
11-04-2018 03:45,30043.3,30149,29925,29992,6366
11-04-2018 04:45,29998,30348.95,29976.2,30324.4,7057
11-04-2018 05:45,30324,30680,30315.25,30670,13267
11-04-2018 06:45,30665,30700,30538.35,30649.75,11260
11-04-2018 07:45,30656.5,30839.95,30600.35,30798.6,13158
11-04-2018 08:45,30794.9,30794.9,30629.2,30680,13525
11-04-2018 09:45,30670,30750,30605.3,30685.1,4793
12-04-2018 03:45,30570.75,30808.85,30558.05,30737,8517
12-04-2018 04:45,30740,30820.1,30701.2,30803.65,5657
12-04-2018 05:45,30803,30871,30765,30799.2,6737
12-04-2018 06:45,30780,30900,30594.75,30630,14760
12-04-2018 07:45,30673.1,30788.7,30598.75,30696.9,9166
12-04-2018 08:45,30693.2,30731.9,30550.45,30690,10339
12-04-2018 09:45,30691.55,30748.95,30670,30681.55,3176
13-04-2018 03:45,30700,31135.25,30695.85,31059.6,12744
13-04-2018 04:45,31060,31125,30982.85,31118.95,3036
13-04-2018 05:45,31117.65,31282.65,31100,31200.1,7398
13-04-2018 06:45,31205,31255.05,31180.35,31194.5,5262
13-04-2018 07:45,31195.2,31210,31125,31180.6,3723
13-04-2018 08:45,31182.7,31299.1,31170,31297.5,6827
13-04-2018 09:45,31289.55,31454.25,31289.55,31353,6134
16-04-2018 03:45,31181.5,31280.65,31034,31058.6,11110
16-04-2018 04:45,31081.6,31100,31000,31099.05,3214
16-04-2018 05:45,31089.15,31105.2,31040,31096.15,2499
16-04-2018 06:45,31100,31107,31084.4,31095.2,2468
16-04-2018 07:45,31100,31299,31090,31290,5316
16-04-2018 08:45,31293.45,31349.3,31251.4,31323.95,6396
16-04-2018 09:45,31311.5,31324,31236.25,31299.25,3926
17-04-2018 03:45,31299.65,31440,31144.1,31439.85,7467
17-04-2018 04:45,31450,31462.9,31371.6,31380,2394
17-04-2018 05:45,31385,31395.65,31268.85,31275,1513
17-04-2018 06:45,31275,31275,31090,31213.9,3496
17-04-2018 07:45,31210,31235,31200.05,31227.85,2222
17-04-2018 08:45,31226.6,31245,31038.05,31051.65,6101
17-04-2018 09:45,31069.8,31069.8,30900,31027.6,4068
18-04-2018 03:30,31027.6,31027.6,31027.6,31027.6,0
18-04-2018 04:30,31109.95,31337.25,31090.5,31178.95,5582
18-04-2018 05:30,31179,31200,31101.55,31168.4,1600
18-04-2018 06:30,31155.05,31159.95,31012.05,31099,2514
18-04-2018 07:30,31107.25,31117.85,30952.1,30996.85,2398
18-04-2018 08:30,31000,31136.2,30979.05,31037,2551
18-04-2018 09:30,31035,31085.05,30800,30873.9,7575
19-04-2018 03:45,31113.3,31160,30770,30800,5457
19-04-2018 04:45,30800,30908.15,30800,30845,2516
19-04-2018 05:45,30856.95,30860.95,30789.95,30805.35,2339
19-04-2018 06:45,30795.5,30816.2,30682.7,30711,3133
19-04-2018 07:45,30725.9,30772.7,30587.25,30594.3,2688
19-04-2018 08:45,30600,30997.05,30600,30915.95,7958
19-04-2018 09:45,30905,30959,30807.05,30920.15,2591
