Date,OpenHdfcbank,HighHdfcbank,LowHdfcbank,CloseHdfcbank,VolumeHdfcbank
12-03-2018 08:45,931.5,934.5,930.5,933.775,0
12-03-2018 09:45,934.25,934.675,932,934.5,92978
13-03-2018 03:45,933.725,939.5,933.725,939.25,161440
13-03-2018 04:45,939.35,942,938.05,941,146489
13-03-2018 05:45,940.55,940.95,938.675,938.675,123995
13-03-2018 06:45,938.7,942.05,938.45,941.025,113332
13-03-2018 07:45,940.975,941.55,929.05,929.075,279779
13-03-2018 08:45,928.8,936.025,927.65,928.55,349262
13-03-2018 09:45,928.55,930.125,927.8,930.125,103785
14-03-2018 03:45,928.5,931.575,925.275,926.5,123748
14-03-2018 04:45,926.55,929.125,925.65,926,98859
14-03-2018 05:45,925.975,927.175,924.25,927.175,159632
14-03-2018 06:45,927.1,929.675,925.55,929.025,105807
14-03-2018 07:45,929.175,932.025,928.275,928.875,146640
14-03-2018 08:45,929.325,933.95,928.375,932.025,212386
14-03-2018 09:45,932.3,932.95,931.5,932.25,68688
15-03-2018 03:45,934,938.025,933.05,936.55,136629
15-03-2018 04:45,936.75,938.925,935.1,937,166286
15-03-2018 05:45,936.675,938.5,936.025,938.5,85888
15-03-2018 06:45,938.5,941.4,938.2,941.4,267688
15-03-2018 07:45,941.5,943.325,938.5,939.3,392567
15-03-2018 08:45,939.5,943.725,937.525,940.475,326212
15-03-2018 09:45,940.725,940.725,937,940.4,91474
16-03-2018 03:45,940,940.4,934.625,935.725,159279
16-03-2018 04:45,935.975,937.725,934.875,936,152819
16-03-2018 05:45,936.125,937.85,935.25,936.475,116266
16-03-2018 06:45,936.35,937.8,935.05,935.125,60621
16-03-2018 07:45,935.15,937.875,934.5,935.75,208484
16-03-2018 08:45,936.125,936.35,924.125,924.85,581341
16-03-2018 09:45,924.725,929,924.725,926.5,692878
19-03-2018 03:45,926.5,929.475,923,926.95,113330
19-03-2018 04:45,927,929.4,926.075,929.35,143061
19-03-2018 05:45,929.35,929.975,928.1,928.625,174465
19-03-2018 06:45,928.75,929,926.15,926.5,175793
19-03-2018 07:45,926.9,927.5,924.25,924.8,339228
19-03-2018 08:45,924.625,927.55,922.2,923.175,668937
19-03-2018 09:45,923.275,924.275,922.15,923,339840
20-03-2018 03:45,923.425,927.05,923.4,925.225,94371
20-03-2018 04:45,925.225,927.125,924.25,926.85,101626
20-03-2018 05:45,926.3,927.5,924.75,924.85,110927
20-03-2018 06:45,925,925.275,920.55,920.7,125622
20-03-2018 07:45,920.925,922.875,919.1,922.475,213740
20-03-2018 08:45,922.125,922.5,917.625,918.65,203653
20-03-2018 09:45,918.775,921.45,918.625,919.75,63436
21-03-2018 03:45,923.65,926.9,922.35,926.275,220259
21-03-2018 04:45,926.25,927.5,925.925,927.375,194262
21-03-2018 05:45,927.5,928.375,922.8,924.975,184499
21-03-2018 06:45,924.6,925.45,924,924.525,221203
21-03-2018 07:45,924.925,929.525,924.5,927.925,252989
21-03-2018 08:45,927.775,930.5,927.35,930,334957
21-03-2018 09:45,930.25,931.525,929.325,929.45,71079
22-03-2018 03:45,928.525,935.525,927.55,935.4,176299
22-03-2018 04:45,935.4,936.75,933.95,935.4,235471
22-03-2018 05:45,935.5,938.7,934.575,937.925,165717
22-03-2018 06:45,937.925,939.425,935.775,935.775,136286
22-03-2018 07:45,935.25,939.75,933.55,939.35,302273
22-03-2018 08:45,939.475,940,933.25,933.4,509947
22-03-2018 09:45,933.15,933.95,931.05,933.875,142192
23-03-2018 03:45,923.5,926.55,921.5,925.15,237862
