date,OpenIcicibank,HighIcicibank,LowIcicibank,CloseIcicibank,VolumeIcicibank
13-03-2018 03:45,300.5,306.5,300,306.05,2490760
13-03-2018 04:45,306,307,302.45,302.85,2465746
13-03-2018 05:45,302.7,303.95,301.75,303.05,1687807
13-03-2018 06:45,303.1,306,302.55,305.6,1566241
13-03-2018 07:45,305.6,306.45,300.05,301.3,3656232
13-03-2018 08:45,301.2,305.95,301.05,303.1,3144775
13-03-2018 09:45,303.15,305.05,303.05,305,919495
14-03-2018 03:45,303.5,304.4,299.2,299.7,2472100
14-03-2018 04:45,299.65,300.85,298.6,298.9,1104369
14-03-2018 05:45,298.9,299.65,297.85,299.55,1747365
14-03-2018 06:45,299.55,301.8,298.25,301.5,1615323
14-03-2018 07:45,301.5,302.7,300.9,301.4,1153558
14-03-2018 08:45,301.2,307.25,301.05,306.25,3440894
14-03-2018 09:45,306.1,306.45,305.8,306.05,1405931
15-03-2018 03:45,305.6,305.6,302.55,303.8,3383636
15-03-2018 04:45,303.9,304,301.6,301.6,1357775
15-03-2018 05:45,301.65,302.45,301.1,301.75,1283744
15-03-2018 06:45,301.75,302.95,301.6,302.5,1461625
15-03-2018 07:45,302.7,303.45,300.65,301.05,2260560
15-03-2018 08:45,301,302.95,300.65,301.75,2282927
15-03-2018 09:45,301.8,301.9,300.75,301.45,1233696
16-03-2018 03:45,300.95,301.2,298.85,300.45,1877487
16-03-2018 04:45,300.35,300.8,298.65,300.2,1877964
16-03-2018 05:45,300.35,301.55,299.6,300.6,1649485
16-03-2018 06:45,300.55,301.3,299.9,300.85,1685030
16-03-2018 07:45,300.9,301.85,300,300.6,1813026
16-03-2018 08:45,300.5,300.5,297.45,298.25,11011913
16-03-2018 09:45,298.3,299.25,297.95,298.1,8911093
19-03-2018 03:45,298.6,299.9,296.55,297.3,2792039
19-03-2018 04:45,297.45,297.95,295.8,296,2008356
19-03-2018 05:45,295.95,296.15,294.3,295.3,1785012
19-03-2018 06:45,295.4,295.45,293.8,294.85,1246798
19-03-2018 07:45,294.9,295.05,291.85,293,1726158
19-03-2018 08:45,293.1,295.4,291.4,295,2836525
19-03-2018 09:45,294.85,295.25,294.3,294.3,1134365
20-03-2018 03:45,293.45,295.4,293,294.2,1916669
20-03-2018 04:45,294.1,294.55,293.3,293.65,1008478
20-03-2018 05:45,293.95,297.2,293.9,295.5,2039423
20-03-2018 06:45,295.6,295.7,293.8,294.1,1473998
20-03-2018 07:45,294.1,294.1,290.85,291.8,1927157
20-03-2018 08:45,291.65,292.55,290.35,291.9,1941547
20-03-2018 09:45,292.05,292.35,291.4,292,566494
21-03-2018 03:45,295,295,293.05,294,2064719
21-03-2018 04:45,293.95,294.35,293.25,294,1080316
21-03-2018 05:45,294,294.2,292.25,293.05,1571234
21-03-2018 06:45,293,293.3,290.1,290.1,2300238
21-03-2018 07:45,289.95,291.35,289.8,290.3,2044521
21-03-2018 08:45,290.3,290.75,287.5,289.7,3453813
21-03-2018 09:45,289.7,289.7,288.95,289.2,1087488
22-03-2018 03:45,289.4,289.6,286.9,287.65,3696699
22-03-2018 04:45,287.65,288.3,286.15,286.75,2646628
22-03-2018 05:45,286.8,286.9,281,281.4,5002578
22-03-2018 06:45,281.4,284.15,281.4,283,3076741
22-03-2018 07:45,283.05,286.05,282.95,285,2668430
22-03-2018 08:45,285.1,285.45,282.35,283.05,5774419
22-03-2018 09:45,283.05,284.15,283,283.25,1714802
23-03-2018 03:45,277,277,274,275.65,10668547
23-03-2018 04:45,275.75,276.85,275.5,276.5,2871493
23-03-2018 05:45,276.45,276.75,274.9,276.1,3510450
23-03-2018 06:45,276.1,276.45,274.65,275.95,3485999
23-03-2018 07:45,276.2,277.85,275.35,276.9,3405831
23-03-2018 08:45,276.95,277.1,275.75,275.75,4974755
23-03-2018 09:45,275.85,276.4,273.8,274.6,2943099
26-03-2018 03:45,276.1,280,276,279.45,6994398
26-03-2018 04:45,279.4,279.55,277.6,278.7,4336410
26-03-2018 05:45,278.65,279.85,278.55,278.7,2767203
26-03-2018 06:45,278.65,279.5,277.75,278.1,1944694
26-03-2018 07:45,278.25,280.2,277.55,277.85,2928916
26-03-2018 08:45,277.8,283.1,276.55,282.7,4058721
26-03-2018 09:45,282.65,282.65,281.2,281.35,1544209
27-03-2018 03:45,284.4,286.55,281.4,286.55,8188535
27-03-2018 04:45,286.55,287.2,283.75,283.95,3318212
27-03-2018 05:45,283.95,284.6,281.7,283.85,2653454
27-03-2018 06:45,283.9,286.2,283.75,285.3,2187831
27-03-2018 07:45,285.5,285.5,283.6,284.35,1963895
27-03-2018 08:45,284.45,285.3,283.7,284.05,2957823
27-03-2018 09:45,284.05,284.25,283,283.9,877306
28-03-2018 03:45,283,283,278.2,278.3,2332401
28-03-2018 04:45,278.25,279.65,278.25,279.5,1757692
28-03-2018 05:45,279.55,281.25,279.3,280.75,1785825
28-03-2018 06:45,280.75,280.95,279,279,1279203
28-03-2018 07:45,279,280.2,278.55,280,1856238
28-03-2018 08:45,280.05,280.25,277.3,277.65,10206464
28-03-2018 09:45,277.65,279.5,277.5,278.35,7891743
02-04-2018 03:45,272.35,272.6,260.5,261.2,26184222
02-04-2018 04:45,261.25,262.75,258.9,261.8,11826666
02-04-2018 05:45,261.75,261.85,260.3,260.55,4974512
02-04-2018 06:45,260.6,262.3,260.05,262.3,4028363
02-04-2018 07:45,262.25,264.15,261.2,262.3,9005614
02-04-2018 08:45,262.2,264.9,260.55,261.7,13097968
02-04-2018 09:45,261.75,262.95,261.7,262.5,3887462
03-04-2018 03:45,261.7,267.45,261.7,266.25,12904864
03-04-2018 04:45,266.25,266.8,263.35,264.55,4826501
03-04-2018 05:45,264.6,265,263.35,263.8,3224376
03-04-2018 06:45,263.85,264.3,262.85,263.5,3337578
03-04-2018 07:45,263.55,266.35,263.15,266,5044638
03-04-2018 08:45,266.1,270.35,265.5,270.15,7860093
03-04-2018 09:45,270,271.1,269.85,270.1,3434539
04-04-2018 03:45,267.25,272,265.6,271.2,9225200
04-04-2018 04:45,271.2,273.1,270.65,271.3,4043312
04-04-2018 05:45,271.4,271.6,267.7,268.3,4630635
04-04-2018 06:45,268.35,269.25,267.35,268.1,2994368
04-04-2018 07:45,268.2,268.2,266.2,267.3,5780795
04-04-2018 08:45,267.4,269.6,267.15,268.45,4233795
04-04-2018 09:45,268.5,269.4,268.05,268.4,2486873
05-04-2018 03:45,268.65,273.2,268.65,273.15,5558245
05-04-2018 04:45,273.3,277.15,273.3,275.05,5645177
05-04-2018 05:45,275.2,275.8,274.55,275.5,2074028
05-04-2018 06:45,275.5,277.1,275.05,276.85,2314166
05-04-2018 07:45,276.8,277.9,276.2,276.85,3476684
05-04-2018 08:45,276.9,278.55,276,278.5,4737633
05-04-2018 09:45,278.7,280,278.15,278.4,2726874
06-04-2018 03:45,278.2,279.35,277.2,279.35,6858445
06-04-2018 04:45,279.65,282.9,278.8,280.2,8461499
06-04-2018 05:45,280.1,281.05,279.6,280,3272756
06-04-2018 06:45,279.95,281.4,277.9,279.2,3937764
06-04-2018 07:45,279.3,280.45,278.3,278.8,2943671
06-04-2018 08:45,278.75,282.25,278.6,280.65,4373239
06-04-2018 09:45,280.6,280.9,279.7,280.65,1664619
09-04-2018 03:45,277.2,277.55,274.5,275.65,5668523
09-04-2018 04:45,275.8,278.75,275.6,278.2,4586122
09-04-2018 05:45,278.2,280.15,277.05,279.95,4395118
09-04-2018 06:45,279.95,280.45,278.3,279.9,3594712
09-04-2018 07:45,279.9,282.1,278.85,281.85,3300124
09-04-2018 08:45,281.9,283.4,280.45,280.5,5860739
09-04-2018 09:45,280.6,281.55,279.4,281,3759373
10-04-2018 03:45,279.6,290.75,279.6,288.8,12854358
10-04-2018 04:45,288.75,289.65,286.8,288.3,5111306
10-04-2018 05:45,288.35,291.85,288.15,291.3,6063720
10-04-2018 06:45,291.3,294.35,291.25,291.9,7553216
10-04-2018 07:45,291.9,292.4,290.25,290.75,4476822
10-04-2018 08:45,290.85,290.85,288.45,288.9,6414943
10-04-2018 09:45,288.85,289.3,288.2,288.8,2151793
11-04-2018 03:45,287.5,287.5,282.5,283.7,4304188
11-04-2018 04:45,283.6,285.4,283.1,284.8,2100089
11-04-2018 05:45,284.75,285.25,283.35,284.3,1657258
11-04-2018 06:45,284.35,284.9,283.75,284,912005
11-04-2018 07:45,284,287.5,284,286.05,3291620
11-04-2018 08:45,286,286.25,284.25,284.45,3151203
11-04-2018 09:45,284.4,285.65,283.5,285.3,1346230
12-04-2018 03:45,285.45,288.5,283.7,287.2,6141529
12-04-2018 04:45,287.1,288.55,286.6,288.5,2458906
12-04-2018 05:45,288.5,288.95,287.1,287.45,2051264
12-04-2018 06:45,287.45,289.2,287.2,288.3,1796230
12-04-2018 07:45,288.65,289.85,287.5,288.05,3879672
12-04-2018 08:45,287.8,288,286.1,286.45,4709322
12-04-2018 09:45,286.55,287.15,286.4,286.75,1891556
13-04-2018 03:45,287.75,290.35,287.7,289.9,4096878
13-04-2018 04:45,289.9,291,288.9,290.15,2207456
13-04-2018 05:45,290.2,290.65,289.55,290.45,1571731
13-04-2018 06:45,290.4,290.45,286.5,287.45,2440606
13-04-2018 07:45,287.5,288.95,285.9,287.2,2865874
13-04-2018 08:45,287.25,288.55,286.2,288.35,2495971
13-04-2018 09:45,288.4,288.6,287.85,288.25,1790968
16-04-2018 03:45,285.55,288.3,285.2,287.1,5644139
16-04-2018 04:45,287.05,288.95,287.05,287.5,2813737
16-04-2018 05:45,287.5,287.5,286.25,286.75,3190494
16-04-2018 06:45,287,287.55,286.05,286.55,1708172
16-04-2018 07:45,286.6,287.7,286.2,287.1,1308119
16-04-2018 08:45,287,287.85,287,287.55,1389593
16-04-2018 09:45,287.6,288,287.3,287.6,795946
17-04-2018 03:45,286.85,292,286.85,291.85,3749038
17-04-2018 04:45,291.8,291.8,289.75,290.15,1731420
17-04-2018 05:45,290.1,290.8,289.65,290.15,1776568
17-04-2018 06:45,290.25,291.35,289.6,291.05,2021760
17-04-2018 07:45,290.95,291.8,290.65,291.15,1883185
17-04-2018 08:45,291.1,293.2,291,291.6,2844745
17-04-2018 09:45,291.65,291.95,291.5,291.75,1390953
18-04-2018 03:30,291.75,291.75,291.75,291.75,0
18-04-2018 04:30,293.15,293.15,289.6,292.05,5184466
18-04-2018 05:30,292.2,292.7,291.15,292.7,2018766
18-04-2018 06:30,292.65,292.85,291.85,292.65,1241409
18-04-2018 07:30,292.55,294.6,292.4,294.3,1880466
18-04-2018 08:30,294.3,294.8,292.1,292.5,5189479
18-04-2018 09:30,292.45,293.05,289,290.05,5211943
19-04-2018 03:45,290.6,290.6,288.8,289.25,3765092
19-04-2018 04:45,289.3,289.6,287.7,289,2060420
19-04-2018 05:45,288.8,289.25,288.2,288.75,1199298
19-04-2018 06:45,288.95,288.95,287.35,288.5,2197446
19-04-2018 07:45,288.4,289.9,287.65,289.3,5333506
19-04-2018 08:45,289.15,289.85,288.5,289.55,1940059
19-04-2018 09:45,289.65,290.25,289.5,290.25,775102
20-04-2018 03:45,289,290,284.95,286.1,4020825
20-04-2018 04:45,286.1,286.5,285,285.35,2377523
20-04-2018 05:45,285.45,287.45,285.15,286.7,901213
20-04-2018 06:45,286.8,286.9,284.8,285,2553233
20-04-2018 07:45,284.95,284.95,281.5,282,3426100
20-04-2018 08:45,282.05,282.65,279.75,282.15,5051259
20-04-2018 09:45,282.2,283.65,282.05,282.4,1378363
23-04-2018 03:45,279.45,279.45,275.25,278.65,2921107
23-04-2018 04:45,278.85,282.5,278.65,279.35,2862958
23-04-2018 05:45,279.35,281.75,279.35,280.95,1084060
23-04-2018 06:45,280.85,280.95,278.4,278.65,1160536
23-04-2018 07:45,278.6,280.6,278.6,279.35,1006067
23-04-2018 08:45,279.3,280.6,278.35,279.5,1596807
23-04-2018 09:45,279.5,280.05,278.9,279,937740
24-04-2018 03:45,279.9,286.6,279.9,285.1,4625484
24-04-2018 04:45,285.2,286,283.75,285.4,2266496
24-04-2018 05:45,285.4,285.5,284,284.9,1527424
24-04-2018 06:45,284.9,284.95,283.25,283.95,1863125
24-04-2018 07:45,283.9,284.3,283.25,283.25,1682627
24-04-2018 08:45,283.45,285,283.05,284.2,2349806
24-04-2018 09:45,284.2,284.5,283.55,284.2,1085995
25-04-2018 03:45,283.2,285.55,281.6,282.6,2226823
25-04-2018 04:45,282.6,282.85,281.2,281.5,997524
25-04-2018 05:45,281.55,281.85,280.8,281.65,700192
25-04-2018 06:45,281.65,282.35,281.1,282.35,525236
25-04-2018 07:45,282.3,282.75,279.7,279.9,1200938
25-04-2018 08:45,279.7,279.8,277,279.05,1548001
25-04-2018 09:45,279.05,279.6,278.15,278.9,738642
26-04-2018 03:45,279.3,279.8,276.05,277.65,1538739
26-04-2018 04:45,277.8,278.35,276.55,277.2,827047
26-04-2018 05:45,277.25,278.05,276.8,277.8,1524005
26-04-2018 06:45,277.75,278.1,277.05,277.05,1238771
26-04-2018 07:45,277.35,277.85,276.3,276.5,1449334
26-04-2018 08:45,276.6,279.35,275.55,278.85,4534968
26-04-2018 09:45,278.75,279.55,278.35,278.85,2995952
27-04-2018 03:45,277.4,289.5,276.15,288.35,5111992
