Date,OpenLt,HighLt,LowLt,CloseLt,VolumeLt
13-03-2018 03:45,1311.5,1322.75,1311.5,1318.9,272984
13-03-2018 04:45,1318.95,1320,1312.05,1313.85,292600
13-03-2018 05:45,1313.55,1315.5,1310.1,1310.55,227281
13-03-2018 06:45,1310.95,1314.3,1308.2,1313.85,298865
13-03-2018 07:45,1314.4,1315,1296.6,1296.6,328153
13-03-2018 08:45,1295.9,1305.5,1294.75,1300.65,390519
13-03-2018 09:45,1301.65,1305.7,1300.35,1302.75,103276
14-03-2018 03:45,1301,1310,1301,1309.5,291199
14-03-2018 04:45,1309.4,1313,1299,1304.05,241842
14-03-2018 05:45,1304.6,1304.6,1294.75,1297.1,219453
14-03-2018 06:45,1296.6,1299,1292.2,1297.8,231126
14-03-2018 07:45,1297.4,1302.1,1295.9,1299.4,204077
14-03-2018 08:45,1299.55,1305.8,1297.45,1302.5,402357
14-03-2018 09:45,1303.75,1305.55,1302.5,1303.65,119185
15-03-2018 03:45,1304.2,1309.35,1301.25,1306.4,273183
15-03-2018 04:45,1306.4,1307.5,1298,1299.85,168963
15-03-2018 05:45,1299.1,1300,1298.05,1299.45,75933
15-03-2018 06:45,1300,1300,1296.55,1299.65,142786
15-03-2018 07:45,1299.7,1300,1294,1295.95,211698
15-03-2018 08:45,1295.5,1299,1292.1,1294.65,205439
15-03-2018 09:45,1294.95,1295.95,1293.6,1295.1,98603
16-03-2018 03:45,1298.35,1298.35,1290.5,1295,287025
16-03-2018 04:45,1295,1303.8,1294.1,1294.8,653699
16-03-2018 05:45,1295,1295.5,1288,1291.3,486633
16-03-2018 06:45,1291.4,1291.75,1285,1285.85,493352
16-03-2018 07:45,1286,1287.7,1280.1,1280.4,266998
16-03-2018 08:45,1280.7,1284.85,1260.4,1264.4,1482801
16-03-2018 09:45,1264,1280.85,1264,1280.7,1478778
19-03-2018 03:45,1279,1291,1266.4,1285.9,546457
19-03-2018 04:45,1285.95,1287.3,1278.25,1281.1,1427932
19-03-2018 05:45,1281.2,1283.8,1279.95,1283.8,361874
19-03-2018 06:45,1283.5,1284,1276.05,1279.8,482705
19-03-2018 07:45,1279.4,1280.45,1270.85,1274.9,456812
19-03-2018 08:45,1275.05,1282.15,1274.85,1279.85,753111
19-03-2018 09:45,1280.1,1282.1,1278.1,1279.55,421000
20-03-2018 03:45,1275,1287.65,1275,1285.85,382164
20-03-2018 04:45,1286,1289.35,1283.65,1284.85,242689
20-03-2018 05:45,1284.85,1293,1284.7,1292.25,293496
20-03-2018 06:45,1292.35,1300,1291.5,1300,506899
20-03-2018 07:45,1299.6,1299.95,1294.65,1297.35,547559
20-03-2018 08:45,1297,1299.95,1291.6,1292.65,671339
20-03-2018 09:45,1292.55,1294.45,1291.5,1293.5,185524
21-03-2018 03:45,1296.95,1309.45,1296.95,1308.05,458314
21-03-2018 04:45,1307.95,1313.6,1307.95,1311.95,360777
21-03-2018 05:45,1312,1312,1305,1308.95,325384
21-03-2018 06:45,1308.95,1310,1303,1308.4,367914
21-03-2018 07:45,1307.4,1311.55,1303.35,1305.4,556159
21-03-2018 08:45,1306.45,1311,1303.65,1309.8,580009
21-03-2018 09:45,1309.95,1310.5,1307,1309.35,183580
22-03-2018 03:45,1314,1321,1312.1,1314,334023
22-03-2018 04:45,1314.15,1318.5,1311,1313,146746
22-03-2018 05:45,1313,1313.8,1306,1308.25,168313
22-03-2018 06:45,1308.5,1310.45,1293,1293,235468
22-03-2018 07:45,1293.05,1299.95,1289.1,1299.25,271535
22-03-2018 08:45,1299.55,1301.25,1291.95,1294.55,451466
22-03-2018 09:45,1295,1300.7,1293.5,1296.25,223277
23-03-2018 03:45,1278,1282.65,1268,1269.3,399622
23-03-2018 04:45,1269.25,1271.4,1265,1268.6,198681
23-03-2018 05:45,1268.75,1274.35,1266.05,1267.2,217356
23-03-2018 06:45,1267.25,1270,1264.7,1267.7,257476
23-03-2018 07:45,1270,1271.8,1267.05,1271.35,411538
23-03-2018 08:45,1271.35,1271.4,1266.8,1269.95,448968
23-03-2018 09:45,1269.9,1270,1262.15,1264.05,342232
26-03-2018 03:45,1270,1279.85,1269.15,1277,203837
26-03-2018 04:45,1277.05,1284.1,1275,1280.2,255027
26-03-2018 05:45,1280.15,1286.3,1279.45,1280.25,176926
26-03-2018 06:45,1280.5,1284.2,1280.1,1281.1,166296
26-03-2018 07:45,1281.1,1289.95,1276.35,1284.3,348812
26-03-2018 08:45,1284.6,1299,1283.1,1297.25,376637
26-03-2018 09:45,1296.85,1299.7,1293.85,1297.4,167262
27-03-2018 03:45,1309.3,1312.85,1301,1305.1,438161
27-03-2018 04:45,1305.15,1308.05,1303.05,1307,173953
27-03-2018 05:45,1307,1307.65,1301.05,1305.6,165242
27-03-2018 06:45,1305.25,1308,1302.2,1303.8,243433
27-03-2018 07:45,1304.2,1307.55,1302.45,1306.6,328459
27-03-2018 08:45,1306.7,1310,1303.3,1306.5,461290
27-03-2018 09:45,1306.5,1310,1306.5,1308.6,188200
28-03-2018 03:45,1301.9,1304.75,1296.25,1297.2,233377
28-03-2018 04:45,1297.2,1300.55,1293,1293.85,100814
28-03-2018 05:45,1293.9,1303.9,1293.6,1303.1,175984
28-03-2018 06:45,1303,1305.3,1298.2,1300,308091
28-03-2018 07:45,1300.05,1310.6,1300.05,1309.25,408044
28-03-2018 08:45,1309.4,1323.6,1303.85,1309.4,1661269
28-03-2018 09:45,1310,1310.9,1306,1310.9,1100509
02-04-2018 03:45,1313,1337.9,1313,1330.65,361375
02-04-2018 04:45,1330.65,1338.45,1330.05,1336.5,132590
02-04-2018 05:45,1336.65,1339.5,1329,1329.85,129648
02-04-2018 06:45,1329.95,1333.45,1328.8,1328.8,95680
02-04-2018 07:45,1328.95,1333.65,1327.55,1332.15,171610
02-04-2018 08:45,1332.55,1337.8,1330.95,1336.15,278330
02-04-2018 09:45,1336.05,1337.55,1334.9,1335.95,126758
03-04-2018 03:45,1332.15,1338.6,1324,1330.6,222350
03-04-2018 04:45,1330.55,1330.55,1318.6,1323.3,218020
03-04-2018 05:45,1323.3,1327.95,1320,1323.8,127200
03-04-2018 06:45,1323.8,1325.3,1321.25,1321.5,148412
03-04-2018 07:45,1321.4,1324.75,1319.5,1324.75,134750
03-04-2018 08:45,1324.7,1331.95,1322,1330.3,211112
03-04-2018 09:45,1330.95,1330.95,1328.8,1330,56430
04-04-2018 03:45,1330,1330,1321,1328.45,169619
04-04-2018 04:45,1328.6,1328.6,1322.65,1323.6,103500
04-04-2018 05:45,1323.6,1324.25,1319.2,1319.55,137347
04-04-2018 06:45,1319.65,1320,1311.1,1311.1,184197
04-04-2018 07:45,1311.4,1312.35,1301.05,1306.9,290009
04-04-2018 08:45,1306.35,1306.35,1291,1297,297281
04-04-2018 09:45,1296.9,1300.3,1294.95,1296.15,102557
05-04-2018 03:45,1311,1320.95,1311,1320.95,282872
05-04-2018 04:45,1321.2,1329,1320.25,1326.4,239150
05-04-2018 05:45,1326.45,1329.9,1320.2,1329.5,174955
05-04-2018 06:45,1329.75,1333,1326.65,1331.95,218247
05-04-2018 07:45,1332.4,1335,1329.05,1334,347394
05-04-2018 08:45,1334.35,1334.95,1324,1330,359193
05-04-2018 09:45,1330.25,1331,1326.05,1328.4,131142
06-04-2018 03:45,1307.2,1317.1,1305.85,1314.75,471426
06-04-2018 04:45,1314.4,1316,1310,1311.95,183095
06-04-2018 05:45,1312.05,1315,1311.65,1312.6,69981
06-04-2018 06:45,1312.5,1314.9,1310.2,1313.8,109369
06-04-2018 07:45,1313.55,1321,1312.15,1319.8,205071
06-04-2018 08:45,1319.95,1322.85,1314.1,1315.25,309772
06-04-2018 09:45,1315.6,1318.7,1313.2,1316.55,128554
09-04-2018 03:45,1319,1326.4,1318.45,1323.5,174344
09-04-2018 04:45,1323.45,1324.75,1320.4,1324,137986
09-04-2018 05:45,1323.95,1330,1320.4,1329.8,132596
09-04-2018 06:45,1329.55,1331.8,1325.8,1327.9,191372
09-04-2018 07:45,1328,1331.95,1325,1331.5,143683
09-04-2018 08:45,1331.7,1333,1325.55,1330,238739
09-04-2018 09:45,1330.05,1330.05,1322.7,1327.9,96749
10-04-2018 03:45,1329,1347.95,1329,1346.15,479590
10-04-2018 04:45,1345.7,1348.95,1340.4,1342.15,281691
10-04-2018 05:45,1342.5,1344.7,1339.75,1340.25,155710
10-04-2018 06:45,1340,1342,1337.55,1340.1,125235
10-04-2018 07:45,1340,1355.1,1339.5,1352.1,716366
10-04-2018 08:45,1352.2,1355,1349.2,1349.45,263432
10-04-2018 09:45,1349.4,1350.25,1348.6,1350,148244
11-04-2018 03:45,1357.9,1359.4,1340,1342.3,365885
11-04-2018 04:45,1342.9,1350.45,1341.6,1350,231614
11-04-2018 05:45,1350,1352.5,1343.7,1346,171958
11-04-2018 06:45,1345.9,1347.4,1344.6,1346.05,193244
11-04-2018 07:45,1346.25,1355.4,1346.25,1350.85,233396
11-04-2018 08:45,1351.5,1354.2,1348.75,1353.95,208128
11-04-2018 09:45,1354,1354.9,1351,1352.75,124422
12-04-2018 03:45,1355,1357.1,1347,1354,293839
12-04-2018 04:45,1354,1354.85,1351.25,1353.25,182238
12-04-2018 05:45,1353.65,1354,1349.25,1350.25,246351
12-04-2018 06:45,1350.2,1352.1,1349.85,1350.5,222665
12-04-2018 07:45,1350.85,1361.05,1350.5,1357.85,299450
12-04-2018 08:45,1357.55,1359.5,1349.2,1357.1,353430
12-04-2018 09:45,1357.15,1357.95,1355.55,1357.45,95237
13-04-2018 03:45,1362.05,1364.05,1351,1351,220828
13-04-2018 04:45,1350.85,1354,1347.75,1350.45,181205
13-04-2018 05:45,1351,1351.6,1344.65,1351.05,122846
13-04-2018 06:45,1351.1,1354.5,1349.15,1350.05,140698
13-04-2018 07:45,1350.6,1350.6,1341.35,1342.8,183530
13-04-2018 08:45,1342.45,1354.7,1340.65,1351.45,288953
13-04-2018 09:45,1351.35,1363.8,1351.35,1354.85,179858
16-04-2018 03:45,1347.1,1369.45,1347.1,1363,327773
16-04-2018 04:45,1362.9,1363.45,1357.05,1359.25,123333
16-04-2018 05:45,1359.3,1363.4,1359.3,1362.95,118039
16-04-2018 06:45,1362.85,1364.5,1359.95,1363.55,141290
16-04-2018 07:45,1363.65,1372,1363,1371.5,218939
16-04-2018 08:45,1371.5,1371.5,1365.2,1369,234836
16-04-2018 09:45,1369,1369.6,1365,1368.1,138665
17-04-2018 03:45,1371.6,1377.55,1366.95,1368.15,204989
17-04-2018 04:45,1367.95,1373.2,1362.2,1364.65,150915
17-04-2018 05:45,1364.85,1365.7,1358.25,1358.6,122573
17-04-2018 06:45,1358.05,1360,1356.15,1356.85,95603
17-04-2018 07:45,1357,1359.95,1356,1356.35,93574
17-04-2018 08:45,1356.3,1363.75,1355.25,1359.95,235361
17-04-2018 09:45,1359.85,1359.95,1355.9,1359.55,153821
18-04-2018 03:30,1359.55,1359.55,1359.55,1359.55,0
18-04-2018 04:30,1363.35,1364,1351.1,1363.2,168994
18-04-2018 05:30,1363,1363.2,1356.4,1360.5,162225
18-04-2018 06:30,1360.35,1369.95,1359.55,1368.25,275768
18-04-2018 07:30,1368,1371.4,1362.5,1364.95,230956
18-04-2018 08:30,1365,1365.35,1357.2,1360.5,231741
18-04-2018 09:30,1360.05,1368.85,1355.7,1360.1,388632
19-04-2018 03:45,1365.2,1372.7,1363.4,1369.9,377215
19-04-2018 04:45,1369.85,1372.5,1368.3,1371.4,173638
19-04-2018 05:45,1371.5,1379.95,1371.5,1376.85,320256
19-04-2018 06:45,1376.85,1379.65,1375.05,1376,138082
19-04-2018 07:45,1376.25,1379.65,1374.1,1379.65,257206
19-04-2018 08:45,1379.5,1383.9,1378,1383.05,603133
19-04-2018 09:45,1383.45,1387.7,1383.1,1384.65,357366
20-04-2018 03:45,1384,1384,1371.9,1375.7,194117
20-04-2018 04:45,1376.25,1376.25,1370.45,1372.5,115787
20-04-2018 05:45,1372.5,1375.5,1371.5,1373.5,124004
20-04-2018 06:45,1373.5,1374,1362.2,1362.65,164943
20-04-2018 07:45,1362.1,1365.55,1360.55,1361.85,171639
20-04-2018 08:45,1362.85,1364.5,1359.7,1364.05,215824
20-04-2018 09:45,1364.2,1368.8,1364.2,1365.05,100021
23-04-2018 03:45,1369.9,1377.6,1363.1,1367.75,250857
23-04-2018 04:45,1367.55,1371.25,1361.35,1361.95,125351
23-04-2018 05:45,1362.6,1365,1360.1,1361.4,83182
23-04-2018 06:45,1361.95,1367.6,1361.55,1367.6,131717
23-04-2018 07:45,1367.85,1370.75,1367,1370.1,324250
23-04-2018 08:45,1370,1371.7,1360.1,1360.55,303633
23-04-2018 09:45,1360.55,1360.55,1355.55,1360,141091
24-04-2018 03:45,1352.9,1364.9,1352.9,1364.85,130110
24-04-2018 04:45,1364.9,1366,1359,1363.3,136067
24-04-2018 05:45,1363.3,1365,1362.25,1365,82981
24-04-2018 06:45,1365,1365,1359,1363.9,87524
24-04-2018 07:45,1363.95,1372.35,1362.9,1368.5,159899
24-04-2018 08:45,1368.6,1382,1367.65,1377.25,307635
24-04-2018 09:45,1376.95,1380.7,1375.05,1378,94326
25-04-2018 03:45,1375,1376.75,1363,1364.1,345547
25-04-2018 04:45,1363.05,1365.65,1361,1362.1,279539
25-04-2018 05:45,1362.05,1363.2,1358.6,1359.75,200714
25-04-2018 06:45,1359.8,1365.25,1359.05,1363.25,105208
25-04-2018 07:45,1363.6,1365.45,1357.1,1359.85,204155
25-04-2018 08:45,1359.85,1361.55,1357.3,1361.55,278414
25-04-2018 09:45,1361.9,1366.5,1361.9,1362.9,120544
26-04-2018 03:45,1366.25,1366.25,1355.05,1357,302666
26-04-2018 04:45,1356.9,1358.35,1352.3,1355.6,118200
26-04-2018 05:45,1356.75,1357.35,1352.15,1352.35,171001
