Date,OpenMaruti,HighMaruti,LowMaruti,CloseMaruti,VolumeMaruti
13-03-2018 03:45,8810,8845.85,8766,8785,96047
13-03-2018 04:45,8785,8789.3,8735,8744.45,70083
13-03-2018 05:45,8743.95,8763.9,8725.05,8737.2,62071
13-03-2018 06:45,8740.3,8764,8732.7,8750,52496
13-03-2018 07:45,8748.65,8763,8691.35,8706,83910
13-03-2018 08:45,8708.7,8767,8702.2,8755.9,126153
13-03-2018 09:45,8757.45,8765.05,8755,8759,30572
14-03-2018 03:45,8731.2,8798.95,8730.35,8776.7,92562
14-03-2018 04:45,8779,8824.4,8775,8779.95,58026
14-03-2018 05:45,8777.55,8780,8730,8777.95,69044
14-03-2018 06:45,8778.9,8810,8775,8798.95,44605
14-03-2018 07:45,8798.95,8810,8793,8806.25,33018
14-03-2018 08:45,8804.3,8850,8797,8849.65,79369
14-03-2018 09:45,8848.05,8864.7,8839.35,8846.3,34566
15-03-2018 03:45,8839,8874,8806.8,8857.55,114888
15-03-2018 04:45,8856,8865.9,8821.8,8832,29688
15-03-2018 05:45,8830.1,8850,8825.9,8847,21071
15-03-2018 06:45,8847.25,8853.95,8832.35,8838.45,22392
15-03-2018 07:45,8837,8840,8801.75,8829.9,34917
15-03-2018 08:45,8829.7,8849,8825.5,8849,55117
15-03-2018 09:45,8849.7,8849.7,8825,8837.55,34826
16-03-2018 03:45,8850.8,8850.8,8782.6,8797.8,72289
16-03-2018 04:45,8797.05,8800.75,8773.7,8794.95,38073
16-03-2018 05:45,8794.95,8799.2,8762.15,8780.5,36330
16-03-2018 06:45,8780.45,8795.5,8749.1,8762.35,42792
16-03-2018 07:45,8762.75,8790,8741.5,8753.3,37560
16-03-2018 08:45,8748,8764,8650,8660.75,241742
16-03-2018 09:45,8661.5,8695.55,8661.5,8695.55,151734
19-03-2018 03:45,8711.5,8782.9,8711.5,8755.5,153271
19-03-2018 04:45,8750.05,8789.3,8742.05,8751.55,57968
19-03-2018 05:45,8751.6,8764,8731,8747.3,74802
19-03-2018 06:45,8752.4,8775.3,8743.7,8758.6,58242
19-03-2018 07:45,8758.65,8775,8742,8742,62060
19-03-2018 08:45,8743,8788.5,8732.65,8763.8,119892
