Date,OpenNestleind,HighNestleind,LowNestleind,CloseNestleind,VolumeNestleind
13-03-2018 03:45,7618.95,7749,7618.95,7733.5,10868
13-03-2018 04:45,7734.05,7782.9,7693.1,7700,15698
13-03-2018 05:45,7700,7724.95,7693.8,7714.05,6066
13-03-2018 06:45,7714.05,7723.7,7695,7705.7,8123
13-03-2018 07:45,7706,7710.6,7690.45,7699.85,6425
13-03-2018 08:45,7699.25,7708.7,7696.05,7699.8,12755
13-03-2018 09:45,7699.9,7700.25,7695,7700.25,5922
14-03-2018 03:45,7701,7711.3,7660,7667.05,4497
14-03-2018 04:45,7666.3,7676.1,7656.95,7662,2886
14-03-2018 05:45,7657.05,7662,7635.2,7637.1,4558
14-03-2018 06:45,7638.45,7649,7618.9,7648.95,20655
14-03-2018 07:45,7648.9,7648.9,7639.15,7640.15,10068
14-03-2018 08:45,7640,7649.95,7635.2,7641.95,17957
14-03-2018 09:45,7644,7684.5,7644,7647.75,3992
15-03-2018 03:45,7656,7719.85,7656,7709.9,17440
15-03-2018 04:45,7709.95,7735.9,7709.95,7730,4192
15-03-2018 05:45,7725.5,7730,7715.7,7720,2899
15-03-2018 06:45,7719.55,7719.55,7711.15,7717,1938
15-03-2018 07:45,7717,7717.5,7710,7717,2369
15-03-2018 08:45,7717,7738.45,7710,7715.05,29599
15-03-2018 09:45,7719,7723,7705.45,7719.85,6878
16-03-2018 03:45,7719.45,7755.25,7719.45,7737.55,9182
16-03-2018 04:45,7739.95,7739.95,7722.1,7725,3244
16-03-2018 05:45,7723.4,7725.25,7688.2,7690.05,3461
16-03-2018 06:45,7692.15,7693.75,7670.25,7690.8,44410
16-03-2018 07:45,7681.35,7701.95,7681.3,7689.65,5854
16-03-2018 08:45,7690,7705.1,7675.2,7695.4,42505
16-03-2018 09:45,7690.2,7702.15,7690,7695.35,67931
19-03-2018 03:45,7691.55,7720,7663.65,7700,4521
19-03-2018 04:45,7694.2,7700.75,7631.65,7646.9,3041
19-03-2018 05:45,7649.65,7700,7627.5,7647.85,7853
19-03-2018 06:45,7655.3,7665,7645,7664.95,28440
19-03-2018 07:45,7655,7665.25,7654.95,7663.45,6439
19-03-2018 08:45,7663.45,7675,7642.05,7671.85,12315
19-03-2018 09:45,7672.65,7682.45,7663.3,7663.3,4281
20-03-2018 03:45,7668.4,7798,7668.4,7784.95,19225
20-03-2018 04:45,7784.95,7817,7784.75,7805.8,9743
20-03-2018 05:45,7806.95,7810,7792.05,7804.95,39383
20-03-2018 06:45,7805,7835.05,7800,7835,13213
20-03-2018 07:45,7834.5,7835,7822,7829.95,24594
20-03-2018 08:45,7830,7830,7817.2,7829.95,18249
20-03-2018 09:45,7830,7875,7830,7841.45,11066
21-03-2018 03:45,7875.15,7945,7861.05,7921.5,10857
21-03-2018 04:45,7914.85,7950,7914.85,7949.85,14942
21-03-2018 05:45,7955,7965,7904.05,7930,27891
21-03-2018 06:45,7921,7930,7921,7924.7,2879
21-03-2018 07:45,7929,7930,7898.3,7910,2561
21-03-2018 08:45,7915.6,7920,7865.55,7885.1,11988
21-03-2018 09:45,7870.2,7870.2,7795.05,7853.25,4768
22-03-2018 03:45,7829.6,7916,7820.8,7911.35,10999
22-03-2018 04:45,7913.5,7913.5,7891.75,7894.95,6569
22-03-2018 05:45,7894.5,7895,7879.15,7887.85,10591
22-03-2018 06:45,7887.45,7890,7884.15,7886.2,4910
22-03-2018 07:45,7880,7889.9,7873,7873.4,6940
22-03-2018 08:45,7877,7878.4,7832.55,7832.55,14274
22-03-2018 09:45,7831.8,7868,7831.1,7840.75,5772
23-03-2018 03:45,7800.05,7834.9,7769.55,7780.2,21355
