Date,OpenPidilitind,HighPidilitind,LowPidilitind,ClosePidilitind,VolumePidilitind
13-03-2018 03:45,887,896.75,886.25,896.65,40557
13-03-2018 04:45,895.95,901.75,895.95,900.5,85628
13-03-2018 05:45,900.5,905,900,903.05,82656
13-03-2018 06:45,903.05,905.75,902.05,904.25,40201
13-03-2018 07:45,904.8,904.95,895.5,898.15,49922
13-03-2018 08:45,898.15,901,897.35,899,72649
13-03-2018 09:45,899.1,900.4,899.1,899.85,22536
14-03-2018 03:45,897.8,910.5,897.8,908.9,166304
14-03-2018 04:45,908.4,908.8,903.6,904.9,84524
14-03-2018 05:45,905.5,905.5,902,903,46892
14-03-2018 06:45,902.7,903.65,901.7,902.8,27450
14-03-2018 07:45,902.6,904.25,902.4,902.4,17058
14-03-2018 08:45,902.2,907.45,902.2,907,62724
14-03-2018 09:45,907,907,903.1,906.25,48533
15-03-2018 03:45,908,908,900.85,902.65,29357
15-03-2018 04:45,902.35,904.15,900.6,904.15,33106
15-03-2018 05:45,903.5,913.85,903.45,909.5,93101
15-03-2018 06:45,909.7,917.4,909,915.2,97307
15-03-2018 07:45,915.5,915.5,910.55,912.25,65760
15-03-2018 08:45,912.35,913.15,908.2,909,80566
15-03-2018 09:45,908.75,910.75,907.8,909.55,36294
16-03-2018 03:45,910.35,923.6,910.1,919.7,228414
16-03-2018 04:45,919.8,920.75,917.45,919.6,72830
16-03-2018 05:45,919.55,919.75,914,914.6,63210
16-03-2018 06:45,914.1,919.2,913.2,918.1,50310
16-03-2018 07:45,918.35,920,915.55,915.55,54814
16-03-2018 08:45,915.95,917.6,911.25,916.95,161054
16-03-2018 09:45,916.75,920.25,914.65,916.3,101728
19-03-2018 03:45,921.05,921.05,904.05,906.9,64094
19-03-2018 04:45,906.95,908.7,902.4,906.15,22286
19-03-2018 05:45,906.55,909.4,906.45,907.45,17097
19-03-2018 06:45,907.15,909.85,906.2,907.15,14736
19-03-2018 07:45,906.85,912,906.3,907.1,34651
19-03-2018 08:45,907.2,913.95,905.5,907.75,51628
19-03-2018 09:45,907.4,909,905.05,907.65,30866
20-03-2018 03:45,904,907.15,899,903.25,57430
20-03-2018 04:45,903.55,905,903,904.8,13721
