Date,OpenTitan,HighTitan,LowTitan,CloseTitan,VolumeTitan
13-03-2018 03:45,834.5,838.5,830,838,434688
13-03-2018 04:45,838.2,845.75,838,845.75,452806
13-03-2018 05:45,845.65,852.35,845.35,850.8,544182
13-03-2018 06:45,851.25,853.3,849.35,852.25,210927
13-03-2018 07:45,852.25,858.9,844.95,845.55,545460
13-03-2018 08:45,845.6,852.6,845.25,850.45,437548
13-03-2018 09:45,849.95,852.75,849.9,852.3,120789
14-03-2018 03:45,851,858.7,850.15,854.75,469687
14-03-2018 04:45,854.9,858.2,853.85,856.2,190035
14-03-2018 05:45,856.55,856.55,854.2,855.8,136723
14-03-2018 06:45,855.5,859.5,854.5,859.1,194456
14-03-2018 07:45,859.4,864.5,859,862,423849
14-03-2018 08:45,861.8,864.8,860.9,864.05,299201
14-03-2018 09:45,864,867.55,863.25,865,167022
15-03-2018 03:45,864.2,869.7,860,869.5,491023
15-03-2018 04:45,869.7,875.2,868.5,869.85,597196
15-03-2018 05:45,869.2,871.65,868.6,870.55,117297
15-03-2018 06:45,870.75,874.75,870.2,873.5,128309
15-03-2018 07:45,873.4,874,868.75,869.75,336803
15-03-2018 08:45,870,872.5,869.1,870.3,576524
15-03-2018 09:45,870.35,875.7,870.35,872.5,237179
16-03-2018 03:45,877,877,863.1,863.1,310925
16-03-2018 04:45,863,871,862.1,870.9,185541
16-03-2018 05:45,871,871,866.1,867.95,96813
16-03-2018 06:45,867.9,870.6,866.65,869.45,83471
16-03-2018 07:45,869.6,870.1,865.1,868.8,222952
16-03-2018 08:45,868.6,883.35,867.75,881.9,1048769
16-03-2018 09:45,882.25,883,878.1,879.25,584641
19-03-2018 03:45,879.7,891.6,877.5,883.05,957675
19-03-2018 04:45,883.2,885.8,879,881.05,291068
19-03-2018 05:45,881.05,882.85,878.2,881.5,162736
19-03-2018 06:45,881.6,881.9,869.3,871.3,412526
19-03-2018 07:45,870.75,876.6,870.25,872.95,247550
19-03-2018 08:45,873.25,875.55,867.95,869,313490
19-03-2018 09:45,869.15,870.5,865,869,150659
20-03-2018 03:45,864.95,875.75,860.4,875.25,496119
20-03-2018 04:45,875.2,878.4,870.65,873.85,284627
20-03-2018 05:45,874.2,880,874.2,879,272537
20-03-2018 06:45,878.9,879.4,874.8,876.1,198761
20-03-2018 07:45,875.95,876,872.75,873.65,232265
20-03-2018 08:45,874,875.1,869.55,871.7,304689
20-03-2018 09:45,871.65,874,870,873.7,192828
21-03-2018 03:45,875.05,884.5,875.05,883,414396
21-03-2018 04:45,882.9,883.5,879.05,881.5,218288
21-03-2018 05:45,881.6,883.8,880.3,882.3,269092
21-03-2018 06:45,882.4,882.45,875.6,876.8,211671
21-03-2018 07:45,876.5,877.6,872.15,873.25,227848
21-03-2018 08:45,873.8,875.4,869.85,873.05,377994
21-03-2018 09:45,873.3,873.7,871.45,872.25,140306
22-03-2018 03:45,872.25,883.5,872.25,880.2,635685
22-03-2018 04:45,880.3,881.3,877.3,881,195296
22-03-2018 05:45,880.6,885.3,878.6,884.65,374437
22-03-2018 06:45,884.75,886.8,883.25,883.55,416180
22-03-2018 07:45,883.25,889.7,882.15,889.7,476540
22-03-2018 08:45,889.8,892,884.05,887.7,837268
22-03-2018 09:45,888,890,887.6,888.6,247264
23-03-2018 03:45,873.65,896.35,873.65,892.9,1092222
23-03-2018 04:45,893.45,896.45,889.65,894.8,490968
23-03-2018 05:45,894.7,896.95,891.6,894.75,349097
23-03-2018 06:45,894.85,900,893.15,899.6,615384
23-03-2018 07:45,900,900,892.3,894.25,640887
23-03-2018 08:45,894.65,897.15,893.3,894.8,576000
23-03-2018 09:45,894.25,897.7,893.8,895.7,352063
26-03-2018 03:45,897,915.9,897,913.2,1101480
26-03-2018 04:45,913.5,913.8,909,910.3,420085
26-03-2018 05:45,910.6,919.5,910.2,919.2,720464
26-03-2018 06:45,919.05,932.85,918.35,931.3,1016122
26-03-2018 07:45,931.4,943.55,929.3,942.15,911674
26-03-2018 08:45,942.5,949.65,937.35,939,1383275
26-03-2018 09:45,938.5,941.4,937.1,940,360395
27-03-2018 03:45,947,947.65,932.6,933.7,981786
27-03-2018 04:45,933.95,942.5,933.1,938.5,410073
27-03-2018 05:45,938.55,940.9,936.7,940.9,166326
27-03-2018 06:45,940.7,945.9,938.15,942.25,323979
27-03-2018 07:45,942.55,943.3,939.55,943,159758
27-03-2018 08:45,943.55,948.2,937.55,942.9,505242
27-03-2018 09:45,942.9,944.5,941.95,944,200678
28-03-2018 03:45,937.65,949,935.85,943.6,752760
28-03-2018 04:45,943.85,948.6,943.85,948.5,261285
28-03-2018 05:45,948.35,963.35,947.95,962.8,1151512
28-03-2018 06:45,962.8,964,951.95,951.95,620312
28-03-2018 07:45,951.3,956.85,949.3,950.9,581272
28-03-2018 08:45,951.35,952.9,938,951.2,4624318
28-03-2018 09:45,949.75,949.75,918.25,942.3,3438766
02-04-2018 03:45,935.55,945.95,927.4,932.7,1101861
02-04-2018 04:45,933.3,934.8,930,933.5,195780
02-04-2018 05:45,933.2,934.55,930.05,933.35,168552
02-04-2018 06:45,933.05,938,933,937.8,215858
02-04-2018 07:45,937.5,945.15,936,944.1,362603
02-04-2018 08:45,945.25,948.3,938.75,944.5,548314
02-04-2018 09:45,944.55,945,941.75,941.75,165195
03-04-2018 03:45,945.15,950.9,935,936.15,637890
03-04-2018 04:45,936.05,937.45,930.5,932.2,303040
03-04-2018 05:45,932.15,935.85,931.05,932.5,208727
03-04-2018 06:45,932.65,936.15,932.05,932.75,142920
03-04-2018 07:45,932.85,932.85,925,926.95,370045
03-04-2018 08:45,927,934,925,932.55,515823
03-04-2018 09:45,933,933.2,928.65,929.25,270677
