Date,OpenUltracemco,HighUltracemco,LowUltracemco,CloseUltracemco,VolumeUltracemco
13-03-2018 03:45,4157.2,4201.95,4142.3,4199.85,27316
13-03-2018 04:45,4200,4209.1,4172.8,4174.5,18090
13-03-2018 05:45,4173,4181.05,4166.25,4169.2,13432
13-03-2018 06:45,4170,4173.7,4148.85,4162.15,11706
13-03-2018 07:45,4162.7,4177.25,4157.4,4159.35,17105
13-03-2018 08:45,4154.3,4173.9,4150.2,4162.1,35340
13-03-2018 09:45,4164.25,4180.65,4163.75,4170,15241
14-03-2018 03:45,4154,4225,4146.95,4220,47436
14-03-2018 04:45,4219.4,4243.6,4210.7,4238.05,31383
14-03-2018 05:45,4239,4239,4220.65,4230.95,45086
14-03-2018 06:45,4230,4240.95,4188.05,4208.7,43926
14-03-2018 07:45,4208.9,4213.6,4200,4210.25,17649
14-03-2018 08:45,4211.3,4234.75,4202.1,4230,36088
14-03-2018 09:45,4227.95,4238.4,4227,4230.25,15710
15-03-2018 03:45,4229.95,4229.95,4190.15,4204.6,41564
15-03-2018 04:45,4204.6,4207.4,4178.25,4188.8,20454
15-03-2018 05:45,4184.2,4191.95,4179.1,4188,12054
15-03-2018 06:45,4190,4193.55,4167.55,4178.5,9542
15-03-2018 07:45,4178.55,4186.5,4157.15,4159.25,22184
15-03-2018 08:45,4160,4199.95,4158.9,4186.25,64061
15-03-2018 09:45,4188.9,4191.6,4171.75,4171.8,18312
16-03-2018 03:45,4161,4161,4130,4134.05,25845
16-03-2018 04:45,4132.65,4138.75,4122,4124.95,18200
16-03-2018 05:45,4125,4125.35,4098.3,4098.3,31709
16-03-2018 06:45,4098.5,4103.3,4082.05,4088,37855
16-03-2018 07:45,4088,4103.5,4072.05,4075.7,30903
16-03-2018 08:45,4074.95,4082.35,4005,4015,227144
16-03-2018 09:45,4017,4050.7,4017,4026.3,153320
19-03-2018 03:45,4044,4065.25,3999.75,4010.4,32950
19-03-2018 04:45,4012.3,4027.95,4007,4025.7,11352
19-03-2018 05:45,4026.9,4033.7,4010.2,4013.95,31459
19-03-2018 06:45,4013.25,4016.1,4000,4007.45,20790
19-03-2018 07:45,4007,4013.75,3980.15,3991.9,20886
19-03-2018 08:45,3991.85,3992.9,3961.4,3971.2,52640
19-03-2018 09:45,3971.2,3980,3963.35,3972.4,23155
20-03-2018 03:45,3969.75,3997.95,3967.75,3980,22473
20-03-2018 04:45,3982.75,3986.65,3944,3951,25355
20-03-2018 05:45,3952.9,3986.7,3951.15,3980,9774
20-03-2018 06:45,3980,3983.45,3954,3955,8655
20-03-2018 07:45,3954.05,3955,3911,3922.15,25889
20-03-2018 08:45,3925.85,3944.95,3923.3,3930,45605
20-03-2018 09:45,3923.6,3958.5,3916,3936.8,17181
21-03-2018 03:45,3968.85,4025.95,3964.1,4025.95,37859
21-03-2018 04:45,4025.95,4053.9,4025.9,4047.2,28004
21-03-2018 05:45,4045.6,4046.95,4026.9,4035.1,18389
21-03-2018 06:45,4035,4036.95,4020,4020,17112
21-03-2018 07:45,4020.05,4027.3,3994.55,3995,32403
21-03-2018 08:45,3992.4,4025.15,3984.05,4021,44953
21-03-2018 09:45,4013.95,4013.95,3974,3999.2,26316
22-03-2018 03:45,3996.45,4011,3965.85,3985.35,25348
22-03-2018 04:45,3985.7,3998.95,3967,3968.5,32944
22-03-2018 05:45,3973.55,3973.55,3956.2,3957.5,14597
22-03-2018 06:45,3955.65,3973.65,3940,3940,14083
22-03-2018 07:45,3933.7,3938.05,3920.75,3934.1,26669
22-03-2018 08:45,3933.2,3941.5,3917.7,3925.65,46580
22-03-2018 09:45,3925.65,3928.8,3915.05,3925.15,20357
23-03-2018 03:45,3851.15,3879.45,3813.65,3825,84158
23-03-2018 04:45,3825.85,3837.75,3823.25,3828.4,21390
23-03-2018 05:45,3828.4,3841.95,3826.35,3834.05,28989
23-03-2018 06:45,3834.9,3848.05,3831.05,3833.7,22122
23-03-2018 07:45,3845,3863.3,3841.6,3853.6,26371
23-03-2018 08:45,3851.7,3898.95,3844,3865.45,38624
23-03-2018 09:45,3866.25,3882.85,3864.3,3882.85,26915
26-03-2018 03:45,3863.35,3875,3826.35,3827.65,28842
26-03-2018 04:45,3829.9,3886.95,3829.9,3876.45,18171
26-03-2018 05:45,3870.95,3912,3865.5,3895.65,19197
26-03-2018 06:45,3894,3900.75,3873.75,3883.45,19593
26-03-2018 07:45,3883.15,3926,3877.9,3912.15,18842
26-03-2018 08:45,3912.35,3953,3905,3943.45,36246
26-03-2018 09:45,3943.5,3965.25,3934.45,3950,15400
27-03-2018 03:45,3948.95,3970,3930.5,3934.25,18532
